census_name,clean_name,census_place_code,variable,sex,age,total_pop,total_pop_moe,pop_in_cook,pop_in_cook_moe,vintage
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_007E,Male,18 and 19 years,614,195,614,195,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_008E,Male,20 years,267,126,267,126,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_009E,Male,21 years,237,107,237,107,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_010E,Male,22 to 24 years,816,157,816,157,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_011E,Male,25 to 29 years,1740,327,1740,327,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_012E,Male,30 to 34 years,2227,381,2227,381,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_013E,Male,35 to 39 years,2979,383,2979,383,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_014E,Male,40 to 44 years,2508,378,2508,378,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_015E,Male,45 to 49 years,2719,419,2719,419,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_016E,Male,50 to 54 years,2824,297,2824,297,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_017E,Male,55 to 59 years,2816,343,2816,343,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_018E,Male,60 and 61 years,901,191,901,191,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_019E,Male,62 to 64 years,1675,339,1675,339,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_020E,Male,65 and 66 years,1107,271,1107,271,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_021E,Male,67 to 69 years,1067,229,1067,229,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_022E,Male,70 to 74 years,1680,271,1680,271,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_023E,Male,75 to 79 years,975,227,975,227,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_024E,Male,80 to 84 years,989,232,989,232,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_025E,Male,85 years and over,791,148,791,148,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_027E,Female,Under 5 years,2224,456,2224,456,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_028E,Female,5 to 9 years,2331,351,2331,351,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_029E,Female,10 to 14 years,2853,489,2853,489,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_030E,Female,15 to 17 years,1278,267,1278,267,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_031E,Female,18 and 19 years,605,251,605,251,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_032E,Female,20 years,87,57,87,57,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_033E,Female,21 years,68,51,68,51,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_034E,Female,22 to 24 years,775,184,775,184,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_035E,Female,25 to 29 years,1943,370,1943,370,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_036E,Female,30 to 34 years,2398,328,2398,328,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_037E,Female,35 to 39 years,2678,345,2678,345,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_038E,Female,40 to 44 years,2780,329,2780,329,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_039E,Female,45 to 49 years,2554,320,2554,320,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_040E,Female,50 to 54 years,2691,383,2691,383,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_041E,Female,55 to 59 years,2997,482,2997,482,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_042E,Female,60 and 61 years,964,191,964,191,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_043E,Female,62 to 64 years,1564,268,1564,268,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_044E,Female,65 and 66 years,1064,214,1064,214,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_045E,Female,67 to 69 years,1352,225,1352,225,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_046E,Female,70 to 74 years,1935,275,1935,275,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_047E,Female,75 to 79 years,1470,363,1470,363,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_048E,Female,80 to 84 years,902,227,902,227,2021 5 YR
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_049E,Female,85 years and over,1623,357,1623,357,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_003E,Male,Under 5 years,206,113,150,94,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_004E,Male,5 to 9 years,765,207,343,118,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_005E,Male,10 to 14 years,448,144,178,83,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_006E,Male,15 to 17 years,295,146,152,101,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_007E,Male,18 and 19 years,98,73,47,55,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_008E,Male,20 years,18,20,9,15,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_009E,Male,21 years,12,19,0,17,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_010E,Male,22 to 24 years,73,62,18,32,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_011E,Male,25 to 29 years,114,75,58,67,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_012E,Male,30 to 34 years,173,81,89,69,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_013E,Male,35 to 39 years,431,166,214,108,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_014E,Male,40 to 44 years,363,124,187,92,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_015E,Male,45 to 49 years,348,123,124,58,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_016E,Male,50 to 54 years,284,105,181,89,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_017E,Male,55 to 59 years,398,119,178,86,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_018E,Male,60 and 61 years,129,111,108,110,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_019E,Male,62 to 64 years,204,95,80,63,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_020E,Male,65 and 66 years,116,69,89,65,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_021E,Male,67 to 69 years,175,74,92,66,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_022E,Male,70 to 74 years,131,98,100,95,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_023E,Male,75 to 79 years,149,67,93,55,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_024E,Male,80 to 84 years,158,107,82,83,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_025E,Male,85 years and over,126,54,45,34,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_027E,Female,Under 5 years,337,124,151,96,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_028E,Female,5 to 9 years,345,130,240,117,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_029E,Female,10 to 14 years,613,214,361,201,2021 5 YR
