zcta,variable,sex,age,total_pop,total_pop_moe,vintage
60130,B01001_016E,Male,50 to 54 years,244,115,2021 5 YR
60130,B01001_017E,Male,55 to 59 years,637,195,2021 5 YR
60130,B01001_018E,Male,60 and 61 years,216,121,2021 5 YR
60130,B01001_019E,Male,62 to 64 years,216,122,2021 5 YR
60130,B01001_020E,Male,65 and 66 years,147,90,2021 5 YR
60130,B01001_021E,Male,67 to 69 years,319,167,2021 5 YR
60130,B01001_022E,Male,70 to 74 years,260,149,2021 5 YR
60130,B01001_023E,Male,75 to 79 years,181,98,2021 5 YR
60130,B01001_024E,Male,80 to 84 years,97,103,2021 5 YR
60130,B01001_025E,Male,85 years and over,74,51,2021 5 YR
60130,B01001_027E,Female,Under 5 years,497,253,2021 5 YR
60130,B01001_028E,Female,5 to 9 years,232,123,2021 5 YR
60130,B01001_029E,Female,10 to 14 years,198,138,2021 5 YR
60130,B01001_030E,Female,15 to 17 years,191,177,2021 5 YR
60130,B01001_031E,Female,18 and 19 years,50,73,2021 5 YR
60130,B01001_032E,Female,20 years,46,74,2021 5 YR
60130,B01001_033E,Female,21 years,142,152,2021 5 YR
60130,B01001_034E,Female,22 to 24 years,233,112,2021 5 YR
60130,B01001_035E,Female,25 to 29 years,654,212,2021 5 YR
60130,B01001_036E,Female,30 to 34 years,654,193,2021 5 YR
60130,B01001_037E,Female,35 to 39 years,569,174,2021 5 YR
60130,B01001_038E,Female,40 to 44 years,487,219,2021 5 YR
60130,B01001_039E,Female,45 to 49 years,480,187,2021 5 YR
60130,B01001_040E,Female,50 to 54 years,606,204,2021 5 YR
60130,B01001_041E,Female,55 to 59 years,601,183,2021 5 YR
60130,B01001_042E,Female,60 and 61 years,249,148,2021 5 YR
60130,B01001_043E,Female,62 to 64 years,265,104,2021 5 YR
60130,B01001_044E,Female,65 and 66 years,354,166,2021 5 YR
60130,B01001_045E,Female,67 to 69 years,401,146,2021 5 YR
60130,B01001_046E,Female,70 to 74 years,311,145,2021 5 YR
60130,B01001_047E,Female,75 to 79 years,158,83,2021 5 YR
60130,B01001_048E,Female,80 to 84 years,94,64,2021 5 YR
60130,B01001_049E,Female,85 years and over,122,78,2021 5 YR
60131,B01001_003E,Male,Under 5 years,568,184,2021 5 YR
60131,B01001_004E,Male,5 to 9 years,381,146,2021 5 YR
60131,B01001_005E,Male,10 to 14 years,948,217,2021 5 YR
60131,B01001_006E,Male,15 to 17 years,342,120,2021 5 YR
60131,B01001_007E,Male,18 and 19 years,105,63,2021 5 YR
60131,B01001_008E,Male,20 years,96,58,2021 5 YR
60131,B01001_009E,Male,21 years,55,57,2021 5 YR
60131,B01001_010E,Male,22 to 24 years,387,157,2021 5 YR
60131,B01001_011E,Male,25 to 29 years,645,219,2021 5 YR
60131,B01001_012E,Male,30 to 34 years,941,255,2021 5 YR
60131,B01001_013E,Male,35 to 39 years,406,149,2021 5 YR
60131,B01001_014E,Male,40 to 44 years,667,190,2021 5 YR
60131,B01001_015E,Male,45 to 49 years,559,169,2021 5 YR
60131,B01001_016E,Male,50 to 54 years,568,162,2021 5 YR
60131,B01001_017E,Male,55 to 59 years,570,195,2021 5 YR
60131,B01001_018E,Male,60 and 61 years,266,110,2021 5 YR
60131,B01001_019E,Male,62 to 64 years,390,138,2021 5 YR
60131,B01001_020E,Male,65 and 66 years,243,92,2021 5 YR
60131,B01001_021E,Male,67 to 69 years,186,78,2021 5 YR
60131,B01001_022E,Male,70 to 74 years,226,85,2021 5 YR
60131,B01001_023E,Male,75 to 79 years,139,69,2021 5 YR
60131,B01001_024E,Male,80 to 84 years,191,93,2021 5 YR
60131,B01001_025E,Male,85 years and over,49,32,2021 5 YR
60131,B01001_027E,Female,Under 5 years,242,112,2021 5 YR
60131,B01001_028E,Female,5 to 9 years,915,343,2021 5 YR
60131,B01001_029E,Female,10 to 14 years,655,171,2021 5 YR
60131,B01001_030E,Female,15 to 17 years,336,126,2021 5 YR
60131,B01001_031E,Female,18 and 19 years,491,182,2021 5 YR
60131,B01001_032E,Female,20 years,114,68,2021 5 YR
60131,B01001_033E,Female,21 years,108,69,2021 5 YR
60131,B01001_034E,Female,22 to 24 years,301,102,2021 5 YR
60131,B01001_035E,Female,25 to 29 years,599,156,2021 5 YR
60131,B01001_036E,Female,30 to 34 years,449,147,2021 5 YR
60131,B01001_037E,Female,35 to 39 years,725,341,2021 5 YR
60131,B01001_038E,Female,40 to 44 years,766,234,2021 5 YR
60131,B01001_039E,Female,45 to 49 years,743,200,2021 5 YR
60131,B01001_040E,Female,50 to 54 years,499,172,2021 5 YR
60131,B01001_041E,Female,55 to 59 years,630,172,2021 5 YR
60131,B01001_042E,Female,60 and 61 years,180,84,2021 5 YR
60131,B01001_043E,Female,62 to 64 years,461,130,2021 5 YR
60131,B01001_044E,Female,65 and 66 years,96,56,2021 5 YR
60131,B01001_045E,Female,67 to 69 years,280,87,2021 5 YR
60131,B01001_046E,Female,70 to 74 years,442,172,2021 5 YR
60131,B01001_047E,Female,75 to 79 years,159,82,2021 5 YR
60131,B01001_048E,Female,80 to 84 years,116,61,2021 5 YR
60131,B01001_049E,Female,85 years and over,174,83,2021 5 YR
60133,B01001_003E,Male,Under 5 years,783,189,2021 5 YR
60133,B01001_004E,Male,5 to 9 years,1125,246,2021 5 YR
60133,B01001_005E,Male,10 to 14 years,1765,311,2021 5 YR
60133,B01001_006E,Male,15 to 17 years,1036,281,2021 5 YR
60133,B01001_007E,Male,18 and 19 years,409,148,2021 5 YR
60133,B01001_008E,Male,20 years,238,125,2021 5 YR
60133,B01001_009E,Male,21 years,199,96,2021 5 YR
60133,B01001_010E,Male,22 to 24 years,744,187,2021 5 YR
60133,B01001_011E,Male,25 to 29 years,1197,282,2021 5 YR
60133,B01001_012E,Male,30 to 34 years,1524,296,2021 5 YR
60133,B01001_013E,Male,35 to 39 years,1513,322,2021 5 YR
60133,B01001_014E,Male,40 to 44 years,1213,244,2021 5 YR
60133,B01001_015E,Male,45 to 49 years,1078,212,2021 5 YR
60133,B01001_016E,Male,50 to 54 years,1138,266,2021 5 YR
60133,B01001_017E,Male,55 to 59 years,1308,237,2021 5 YR
60133,B01001_018E,Male,60 and 61 years,340,97,2021 5 YR
60133,B01001_019E,Male,62 to 64 years,616,207,2021 5 YR
60133,B01001_020E,Male,65 and 66 years,380,119,2021 5 YR
60133,B01001_021E,Male,67 to 69 years,445,132,2021 5 YR
60133,B01001_022E,Male,70 to 74 years,499,144,2021 5 YR
60133,B01001_023E,Male,75 to 79 years,211,84,2021 5 YR
60133,B01001_024E,Male,80 to 84 years,166,97,2021 5 YR
60133,B01001_025E,Male,85 years and over,74,48,2021 5 YR
60133,B01001_027E,Female,Under 5 years,1260,236,2021 5 YR
60133,B01001_028E,Female,5 to 9 years,1642,338,2021 5 YR
60133,B01001_029E,Female,10 to 14 years,1867,363,2021 5 YR
60133,B01001_030E,Female,15 to 17 years,1103,234,2021 5 YR
60133,B01001_031E,Female,18 and 19 years,606,163,2021 5 YR
60133,B01001_032E,Female,20 years,174,88,2021 5 YR
60133,B01001_033E,Female,21 years,198,87,2021 5 YR
60133,B01001_034E,Female,22 to 24 years,685,172,2021 5 YR
60133,B01001_035E,Female,25 to 29 years,1181,190,2021 5 YR
60133,B01001_036E,Female,30 to 34 years,1387,216,2021 5 YR
60133,B01001_037E,Female,35 to 39 years,1625,309,2021 5 YR
60133,B01001_038E,Female,40 to 44 years,1034,207,2021 5 YR
60133,B01001_039E,Female,45 to 49 years,1092,184,2021 5 YR
60133,B01001_040E,Female,50 to 54 years,1127,241,2021 5 YR
60133,B01001_041E,Female,55 to 59 years,1496,305,2021 5 YR
60133,B01001_042E,Female,60 and 61 years,427,209,2021 5 YR
60133,B01001_043E,Female,62 to 64 years,480,165,2021 5 YR
60133,B01001_044E,Female,65 and 66 years,429,149,2021 5 YR
60133,B01001_045E,Female,67 to 69 years,439,168,2021 5 YR
60133,B01001_046E,Female,70 to 74 years,481,144,2021 5 YR
60133,B01001_047E,Female,75 to 79 years,497,134,2021 5 YR
60133,B01001_048E,Female,80 to 84 years,229,133,2021 5 YR
60133,B01001_049E,Female,85 years and over,85,60,2021 5 YR
60141,B01001_003E,Male,Under 5 years,0,12,2021 5 YR
60141,B01001_004E,Male,5 to 9 years,0,12,2021 5 YR
60141,B01001_005E,Male,10 to 14 years,0,12,2021 5 YR
60141,B01001_006E,Male,15 to 17 years,0,12,2021 5 YR
60141,B01001_007E,Male,18 and 19 years,0,12,2021 5 YR
60141,B01001_008E,Male,20 years,0,12,2021 5 YR
60141,B01001_009E,Male,21 years,5,10,2021 5 YR
60141,B01001_010E,Male,22 to 24 years,0,12,2021 5 YR
60141,B01001_011E,Male,25 to 29 years,0,12,2021 5 YR
60141,B01001_012E,Male,30 to 34 years,0,12,2021 5 YR
60141,B01001_013E,Male,35 to 39 years,0,12,2021 5 YR
60141,B01001_014E,Male,40 to 44 years,7,15,2021 5 YR
60141,B01001_015E,Male,45 to 49 years,0,12,2021 5 YR
60141,B01001_016E,Male,50 to 54 years,20,36,2021 5 YR
60141,B01001_017E,Male,55 to 59 years,10,17,2021 5 YR
60141,B01001_018E,Male,60 and 61 years,3,6,2021 5 YR
60141,B01001_019E,Male,62 to 64 years,0,12,2021 5 YR
60141,B01001_020E,Male,65 and 66 years,5,11,2021 5 YR
60141,B01001_021E,Male,67 to 69 years,23,24,2021 5 YR
60141,B01001_022E,Male,70 to 74 years,142,127,2021 5 YR
60141,B01001_023E,Male,75 to 79 years,24,28,2021 5 YR
60141,B01001_024E,Male,80 to 84 years,3,6,2021 5 YR
60141,B01001_025E,Male,85 years and over,18,25,2021 5 YR
60141,B01001_027E,Female,Under 5 years,0,12,2021 5 YR
60141,B01001_028E,Female,5 to 9 years,0,12,2021 5 YR
60141,B01001_029E,Female,10 to 14 years,0,12,2021 5 YR
60141,B01001_030E,Female,15 to 17 years,0,12,2021 5 YR
60141,B01001_031E,Female,18 and 19 years,0,12,2021 5 YR
60141,B01001_032E,Female,20 years,0,12,2021 5 YR
60141,B01001_033E,Female,21 years,0,12,2021 5 YR
60141,B01001_034E,Female,22 to 24 years,0,12,2021 5 YR
60141,B01001_035E,Female,25 to 29 years,0,12,2021 5 YR
60141,B01001_036E,Female,30 to 34 years,0,12,2021 5 YR
60141,B01001_037E,Female,35 to 39 years,0,12,2021 5 YR
60141,B01001_038E,Female,40 to 44 years,0,12,2021 5 YR
60141,B01001_039E,Female,45 to 49 years,0,12,2021 5 YR
60141,B01001_040E,Female,50 to 54 years,0,12,2021 5 YR
60141,B01001_041E,Female,55 to 59 years,0,12,2021 5 YR
60141,B01001_042E,Female,60 and 61 years,0,12,2021 5 YR
60141,B01001_043E,Female,62 to 64 years,4,9,2021 5 YR
60141,B01001_044E,Female,65 and 66 years,3,7,2021 5 YR
60141,B01001_045E,Female,67 to 69 years,28,41,2021 5 YR
60141,B01001_046E,Female,70 to 74 years,0,12,2021 5 YR
60141,B01001_047E,Female,75 to 79 years,3,7,2021 5 YR
60141,B01001_048E,Female,80 to 84 years,0,12,2021 5 YR
60141,B01001_049E,Female,85 years and over,0,12,2021 5 YR
60153,B01001_003E,Male,Under 5 years,631,174,2021 5 YR
60153,B01001_004E,Male,5 to 9 years,743,238,2021 5 YR
60153,B01001_005E,Male,10 to 14 years,822,232,2021 5 YR
60153,B01001_006E,Male,15 to 17 years,442,165,2021 5 YR
60153,B01001_007E,Male,18 and 19 years,421,150,2021 5 YR
60153,B01001_008E,Male,20 years,227,122,2021 5 YR
60153,B01001_009E,Male,21 years,180,102,2021 5 YR
60153,B01001_010E,Male,22 to 24 years,499,201,2021 5 YR
60153,B01001_011E,Male,25 to 29 years,782,239,2021 5 YR
60153,B01001_012E,Male,30 to 34 years,635,281,2021 5 YR
60153,B01001_013E,Male,35 to 39 years,697,183,2021 5 YR
60153,B01001_014E,Male,40 to 44 years,1028,248,2021 5 YR
60153,B01001_015E,Male,45 to 49 years,803,267,2021 5 YR
60153,B01001_016E,Male,50 to 54 years,835,263,2021 5 YR
60153,B01001_017E,Male,55 to 59 years,614,168,2021 5 YR
60153,B01001_018E,Male,60 and 61 years,293,150,2021 5 YR
60153,B01001_019E,Male,62 to 64 years,421,139,2021 5 YR
60153,B01001_020E,Male,65 and 66 years,138,94,2021 5 YR
60153,B01001_021E,Male,67 to 69 years,271,141,2021 5 YR
60153,B01001_022E,Male,70 to 74 years,396,114,2021 5 YR
60153,B01001_023E,Male,75 to 79 years,279,160,2021 5 YR
60153,B01001_024E,Male,80 to 84 years,183,79,2021 5 YR
60153,B01001_025E,Male,85 years and over,183,97,2021 5 YR
60153,B01001_027E,Female,Under 5 years,306,115,2021 5 YR
60153,B01001_028E,Female,5 to 9 years,787,224,2021 5 YR
60153,B01001_029E,Female,10 to 14 years,799,217,2021 5 YR
60153,B01001_030E,Female,15 to 17 years,434,160,2021 5 YR
60153,B01001_031E,Female,18 and 19 years,449,170,2021 5 YR
60153,B01001_032E,Female,20 years,100,80,2021 5 YR
60153,B01001_033E,Female,21 years,307,114,2021 5 YR
60153,B01001_034E,Female,22 to 24 years,651,225,2021 5 YR
60153,B01001_035E,Female,25 to 29 years,791,230,2021 5 YR
60153,B01001_036E,Female,30 to 34 years,568,217,2021 5 YR
60153,B01001_037E,Female,35 to 39 years,518,149,2021 5 YR
60153,B01001_038E,Female,40 to 44 years,925,224,2021 5 YR
60153,B01001_039E,Female,45 to 49 years,1020,277,2021 5 YR
60153,B01001_040E,Female,50 to 54 years,771,205,2021 5 YR
60153,B01001_041E,Female,55 to 59 years,877,250,2021 5 YR
60153,B01001_042E,Female,60 and 61 years,315,181,2021 5 YR
60153,B01001_043E,Female,62 to 64 years,468,165,2021 5 YR
60153,B01001_044E,Female,65 and 66 years,225,91,2021 5 YR
60153,B01001_045E,Female,67 to 69 years,309,137,2021 5 YR
60153,B01001_046E,Female,70 to 74 years,422,118,2021 5 YR
60153,B01001_047E,Female,75 to 79 years,477,151,2021 5 YR
60153,B01001_048E,Female,80 to 84 years,150,64,2021 5 YR
60153,B01001_049E,Female,85 years and over,355,121,2021 5 YR
60154,B01001_003E,Male,Under 5 years,494,162,2021 5 YR
60154,B01001_004E,Male,5 to 9 years,260,123,2021 5 YR
60154,B01001_005E,Male,10 to 14 years,293,167,2021 5 YR
60154,B01001_006E,Male,15 to 17 years,326,140,2021 5 YR
60154,B01001_007E,Male,18 and 19 years,89,54,2021 5 YR
60154,B01001_008E,Male,20 years,14,24,2021 5 YR
60154,B01001_009E,Male,21 years,43,39,2021 5 YR
60154,B01001_010E,Male,22 to 24 years,263,149,2021 5 YR
60154,B01001_011E,Male,25 to 29 years,350,121,2021 5 YR
60154,B01001_012E,Male,30 to 34 years,534,146,2021 5 YR
60154,B01001_013E,Male,35 to 39 years,531,169,2021 5 YR
60154,B01001_014E,Male,40 to 44 years,389,113,2021 5 YR
60154,B01001_015E,Male,45 to 49 years,534,165,2021 5 YR
60154,B01001_016E,Male,50 to 54 years,558,151,2021 5 YR
60154,B01001_017E,Male,55 to 59 years,470,117,2021 5 YR
60154,B01001_018E,Male,60 and 61 years,359,124,2021 5 YR
60154,B01001_019E,Male,62 to 64 years,414,185,2021 5 YR
60154,B01001_020E,Male,65 and 66 years,446,226,2021 5 YR
60154,B01001_021E,Male,67 to 69 years,294,107,2021 5 YR
60154,B01001_022E,Male,70 to 74 years,316,108,2021 5 YR
60154,B01001_023E,Male,75 to 79 years,339,149,2021 5 YR
60154,B01001_024E,Male,80 to 84 years,234,113,2021 5 YR
60154,B01001_025E,Male,85 years and over,254,190,2021 5 YR
60154,B01001_027E,Female,Under 5 years,347,124,2021 5 YR
60154,B01001_028E,Female,5 to 9 years,334,115,2021 5 YR
60154,B01001_029E,Female,10 to 14 years,353,141,2021 5 YR
60154,B01001_030E,Female,15 to 17 years,380,214,2021 5 YR
60154,B01001_031E,Female,18 and 19 years,123,71,2021 5 YR
60154,B01001_032E,Female,20 years,69,59,2021 5 YR
60154,B01001_033E,Female,21 years,88,64,2021 5 YR
60154,B01001_034E,Female,22 to 24 years,393,313,2021 5 YR
60154,B01001_035E,Female,25 to 29 years,538,173,2021 5 YR
60154,B01001_036E,Female,30 to 34 years,392,112,2021 5 YR
60154,B01001_037E,Female,35 to 39 years,475,134,2021 5 YR
60154,B01001_038E,Female,40 to 44 years,387,131,2021 5 YR
60154,B01001_039E,Female,45 to 49 years,561,171,2021 5 YR
60154,B01001_040E,Female,50 to 54 years,588,164,2021 5 YR
60154,B01001_041E,Female,55 to 59 years,667,179,2021 5 YR
60154,B01001_042E,Female,60 and 61 years,238,127,2021 5 YR
60154,B01001_043E,Female,62 to 64 years,397,115,2021 5 YR
60154,B01001_044E,Female,65 and 66 years,434,193,2021 5 YR
60154,B01001_045E,Female,67 to 69 years,477,173,2021 5 YR
60154,B01001_046E,Female,70 to 74 years,585,166,2021 5 YR
60154,B01001_047E,Female,75 to 79 years,464,174,2021 5 YR
60154,B01001_048E,Female,80 to 84 years,372,126,2021 5 YR
60154,B01001_049E,Female,85 years and over,371,146,2021 5 YR
60155,B01001_003E,Male,Under 5 years,239,150,2021 5 YR
60155,B01001_004E,Male,5 to 9 years,400,237,2021 5 YR
60155,B01001_005E,Male,10 to 14 years,332,184,2021 5 YR
60155,B01001_006E,Male,15 to 17 years,233,319,2021 5 YR
60155,B01001_007E,Male,18 and 19 years,59,57,2021 5 YR
60155,B01001_008E,Male,20 years,118,185,2021 5 YR
60155,B01001_009E,Male,21 years,2,40,2021 5 YR
60155,B01001_010E,Male,22 to 24 years,83,106,2021 5 YR
60155,B01001_011E,Male,25 to 29 years,288,218,2021 5 YR
60155,B01001_012E,Male,30 to 34 years,242,176,2021 5 YR
60155,B01001_013E,Male,35 to 39 years,209,120,2021 5 YR
60155,B01001_014E,Male,40 to 44 years,193,153,2021 5 YR
60155,B01001_015E,Male,45 to 49 years,305,301,2021 5 YR
60155,B01001_016E,Male,50 to 54 years,333,246,2021 5 YR
60155,B01001_017E,Male,55 to 59 years,349,198,2021 5 YR
60155,B01001_018E,Male,60 and 61 years,111,99,2021 5 YR
60155,B01001_019E,Male,62 to 64 years,177,107,2021 5 YR
60155,B01001_020E,Male,65 and 66 years,24,28,2021 5 YR
60155,B01001_021E,Male,67 to 69 years,230,159,2021 5 YR
60155,B01001_022E,Male,70 to 74 years,143,156,2021 5 YR
60155,B01001_023E,Male,75 to 79 years,32,34,2021 5 YR
60155,B01001_024E,Male,80 to 84 years,43,38,2021 5 YR
60155,B01001_025E,Male,85 years and over,51,59,2021 5 YR
60155,B01001_027E,Female,Under 5 years,336,201,2021 5 YR
60155,B01001_028E,Female,5 to 9 years,226,184,2021 5 YR
60155,B01001_029E,Female,10 to 14 years,10,20,2021 5 YR
60155,B01001_030E,Female,15 to 17 years,96,88,2021 5 YR
60155,B01001_031E,Female,18 and 19 years,90,72,2021 5 YR
60155,B01001_032E,Female,20 years,0,17,2021 5 YR
60155,B01001_033E,Female,21 years,51,73,2021 5 YR
60155,B01001_034E,Female,22 to 24 years,32,101,2021 5 YR
60155,B01001_035E,Female,25 to 29 years,356,185,2021 5 YR
60155,B01001_036E,Female,30 to 34 years,304,137,2021 5 YR
60155,B01001_037E,Female,35 to 39 years,241,169,2021 5 YR
60155,B01001_038E,Female,40 to 44 years,166,95,2021 5 YR
60155,B01001_039E,Female,45 to 49 years,185,119,2021 5 YR
60155,B01001_040E,Female,50 to 54 years,298,188,2021 5 YR
60155,B01001_041E,Female,55 to 59 years,161,98,2021 5 YR
60155,B01001_042E,Female,60 and 61 years,163,103,2021 5 YR
60155,B01001_043E,Female,62 to 64 years,164,100,2021 5 YR
60155,B01001_044E,Female,65 and 66 years,107,88,2021 5 YR
60155,B01001_045E,Female,67 to 69 years,238,120,2021 5 YR
60155,B01001_046E,Female,70 to 74 years,198,103,2021 5 YR
60155,B01001_047E,Female,75 to 79 years,144,128,2021 5 YR
60155,B01001_048E,Female,80 to 84 years,30,39,2021 5 YR
60155,B01001_049E,Female,85 years and over,213,240,2021 5 YR
60160,B01001_003E,Male,Under 5 years,837,224,2021 5 YR
60160,B01001_004E,Male,5 to 9 years,859,242,2021 5 YR
60160,B01001_005E,Male,10 to 14 years,925,249,2021 5 YR
60160,B01001_006E,Male,15 to 17 years,677,192,2021 5 YR
60160,B01001_007E,Male,18 and 19 years,298,122,2021 5 YR
60160,B01001_008E,Male,20 years,96,92,2021 5 YR
60160,B01001_009E,Male,21 years,341,214,2021 5 YR
60160,B01001_010E,Male,22 to 24 years,588,236,2021 5 YR
60160,B01001_011E,Male,25 to 29 years,1194,279,2021 5 YR
60160,B01001_012E,Male,30 to 34 years,923,224,2021 5 YR
60160,B01001_013E,Male,35 to 39 years,1002,263,2021 5 YR
60160,B01001_014E,Male,40 to 44 years,1079,283,2021 5 YR
60160,B01001_015E,Male,45 to 49 years,1154,402,2021 5 YR
60160,B01001_016E,Male,50 to 54 years,584,168,2021 5 YR
60160,B01001_017E,Male,55 to 59 years,799,204,2021 5 YR
60160,B01001_018E,Male,60 and 61 years,352,133,2021 5 YR
60160,B01001_019E,Male,62 to 64 years,340,125,2021 5 YR
60160,B01001_020E,Male,65 and 66 years,116,63,2021 5 YR
60160,B01001_021E,Male,67 to 69 years,407,285,2021 5 YR
60160,B01001_022E,Male,70 to 74 years,333,98,2021 5 YR
60160,B01001_023E,Male,75 to 79 years,134,57,2021 5 YR
60160,B01001_024E,Male,80 to 84 years,104,65,2021 5 YR
60160,B01001_025E,Male,85 years and over,118,62,2021 5 YR
60160,B01001_027E,Female,Under 5 years,877,226,2021 5 YR
60160,B01001_028E,Female,5 to 9 years,849,245,2021 5 YR
60160,B01001_029E,Female,10 to 14 years,1064,317,2021 5 YR
60160,B01001_030E,Female,15 to 17 years,575,165,2021 5 YR
60160,B01001_031E,Female,18 and 19 years,456,157,2021 5 YR
60160,B01001_032E,Female,20 years,115,81,2021 5 YR
60160,B01001_033E,Female,21 years,207,106,2021 5 YR
60160,B01001_034E,Female,22 to 24 years,446,166,2021 5 YR
60160,B01001_035E,Female,25 to 29 years,975,229,2021 5 YR
60160,B01001_036E,Female,30 to 34 years,864,220,2021 5 YR
60160,B01001_037E,Female,35 to 39 years,840,186,2021 5 YR
60160,B01001_038E,Female,40 to 44 years,639,150,2021 5 YR
60160,B01001_039E,Female,45 to 49 years,1001,252,2021 5 YR
60160,B01001_040E,Female,50 to 54 years,547,171,2021 5 YR
60160,B01001_041E,Female,55 to 59 years,736,167,2021 5 YR
60160,B01001_042E,Female,60 and 61 years,257,116,2021 5 YR
60160,B01001_043E,Female,62 to 64 years,454,165,2021 5 YR
60160,B01001_044E,Female,65 and 66 years,17,18,2021 5 YR
60160,B01001_045E,Female,67 to 69 years,198,89,2021 5 YR
60160,B01001_046E,Female,70 to 74 years,327,116,2021 5 YR
60160,B01001_047E,Female,75 to 79 years,258,98,2021 5 YR
60160,B01001_048E,Female,80 to 84 years,236,84,2021 5 YR
60160,B01001_049E,Female,85 years and over,219,83,2021 5 YR
60162,B01001_003E,Male,Under 5 years,225,119,2021 5 YR
60162,B01001_004E,Male,5 to 9 years,221,111,2021 5 YR
60162,B01001_005E,Male,10 to 14 years,240,138,2021 5 YR
60162,B01001_006E,Male,15 to 17 years,63,51,2021 5 YR
60162,B01001_007E,Male,18 and 19 years,130,90,2021 5 YR
60162,B01001_008E,Male,20 years,48,61,2021 5 YR
60162,B01001_009E,Male,21 years,60,55,2021 5 YR
60162,B01001_010E,Male,22 to 24 years,87,61,2021 5 YR
60162,B01001_011E,Male,25 to 29 years,587,271,2021 5 YR
60162,B01001_012E,Male,30 to 34 years,291,210,2021 5 YR
60162,B01001_013E,Male,35 to 39 years,227,116,2021 5 YR
60162,B01001_014E,Male,40 to 44 years,279,132,2021 5 YR
60162,B01001_015E,Male,45 to 49 years,331,129,2021 5 YR
60162,B01001_016E,Male,50 to 54 years,168,87,2021 5 YR
60162,B01001_017E,Male,55 to 59 years,199,88,2021 5 YR
60162,B01001_018E,Male,60 and 61 years,135,79,2021 5 YR
60162,B01001_019E,Male,62 to 64 years,335,144,2021 5 YR
60162,B01001_020E,Male,65 and 66 years,34,35,2021 5 YR
60162,B01001_021E,Male,67 to 69 years,34,33,2021 5 YR
60162,B01001_022E,Male,70 to 74 years,284,117,2021 5 YR
60162,B01001_023E,Male,75 to 79 years,97,66,2021 5 YR
60162,B01001_024E,Male,80 to 84 years,52,46,2021 5 YR
60162,B01001_025E,Male,85 years and over,80,64,2021 5 YR
60162,B01001_027E,Female,Under 5 years,314,186,2021 5 YR
60162,B01001_028E,Female,5 to 9 years,121,116,2021 5 YR
60162,B01001_029E,Female,10 to 14 years,219,108,2021 5 YR
60162,B01001_030E,Female,15 to 17 years,125,84,2021 5 YR
60162,B01001_031E,Female,18 and 19 years,15,23,2021 5 YR
60162,B01001_032E,Female,20 years,87,98,2021 5 YR
60162,B01001_033E,Female,21 years,0,17,2021 5 YR
60162,B01001_034E,Female,22 to 24 years,155,80,2021 5 YR
60162,B01001_035E,Female,25 to 29 years,308,156,2021 5 YR
60162,B01001_036E,Female,30 to 34 years,300,153,2021 5 YR
60162,B01001_037E,Female,35 to 39 years,155,100,2021 5 YR
60162,B01001_038E,Female,40 to 44 years,164,93,2021 5 YR
60162,B01001_039E,Female,45 to 49 years,262,123,2021 5 YR
60162,B01001_040E,Female,50 to 54 years,288,120,2021 5 YR
60162,B01001_041E,Female,55 to 59 years,417,167,2021 5 YR
60162,B01001_042E,Female,60 and 61 years,154,98,2021 5 YR
60162,B01001_043E,Female,62 to 64 years,139,75,2021 5 YR
60162,B01001_044E,Female,65 and 66 years,111,72,2021 5 YR
60162,B01001_045E,Female,67 to 69 years,136,78,2021 5 YR
60162,B01001_046E,Female,70 to 74 years,162,85,2021 5 YR
60162,B01001_047E,Female,75 to 79 years,123,49,2021 5 YR
60162,B01001_048E,Female,80 to 84 years,38,36,2021 5 YR
60162,B01001_049E,Female,85 years and over,286,222,2021 5 YR
60163,B01001_003E,Male,Under 5 years,288,206,2021 5 YR
60163,B01001_004E,Male,5 to 9 years,83,60,2021 5 YR
60163,B01001_005E,Male,10 to 14 years,228,102,2021 5 YR
60163,B01001_006E,Male,15 to 17 years,27,31,2021 5 YR
60163,B01001_007E,Male,18 and 19 years,39,37,2021 5 YR
60163,B01001_008E,Male,20 years,34,43,2021 5 YR
60163,B01001_009E,Male,21 years,32,33,2021 5 YR
60163,B01001_010E,Male,22 to 24 years,126,64,2021 5 YR
60163,B01001_011E,Male,25 to 29 years,232,145,2021 5 YR
60163,B01001_012E,Male,30 to 34 years,160,111,2021 5 YR
60163,B01001_013E,Male,35 to 39 years,107,86,2021 5 YR
60163,B01001_014E,Male,40 to 44 years,106,83,2021 5 YR
60163,B01001_015E,Male,45 to 49 years,190,140,2021 5 YR
60163,B01001_016E,Male,50 to 54 years,226,103,2021 5 YR
60163,B01001_017E,Male,55 to 59 years,269,108,2021 5 YR
60163,B01001_018E,Male,60 and 61 years,51,41,2021 5 YR
60163,B01001_019E,Male,62 to 64 years,93,56,2021 5 YR
60163,B01001_020E,Male,65 and 66 years,125,117,2021 5 YR
60163,B01001_021E,Male,67 to 69 years,58,38,2021 5 YR
60163,B01001_022E,Male,70 to 74 years,41,28,2021 5 YR
60163,B01001_023E,Male,75 to 79 years,105,63,2021 5 YR
60163,B01001_024E,Male,80 to 84 years,15,20,2021 5 YR
60163,B01001_025E,Male,85 years and over,24,28,2021 5 YR
60163,B01001_027E,Female,Under 5 years,99,80,2021 5 YR
60163,B01001_028E,Female,5 to 9 years,248,131,2021 5 YR
60163,B01001_029E,Female,10 to 14 years,121,69,2021 5 YR
60163,B01001_030E,Female,15 to 17 years,45,52,2021 5 YR
