zcta,variable,sex,age,total_pop,total_pop_moe,vintage
60007,B01001_007E,Male,18 and 19 years,440,215,2021 5 YR
60007,B01001_008E,Male,20 years,162,140,2021 5 YR
60007,B01001_009E,Male,21 years,37,32,2021 5 YR
60007,B01001_010E,Male,22 to 24 years,354,141,2021 5 YR
60007,B01001_011E,Male,25 to 29 years,836,208,2021 5 YR
60007,B01001_012E,Male,30 to 34 years,1117,237,2021 5 YR
60007,B01001_013E,Male,35 to 39 years,1084,217,2021 5 YR
60007,B01001_014E,Male,40 to 44 years,1068,325,2021 5 YR
60007,B01001_015E,Male,45 to 49 years,1079,284,2021 5 YR
60007,B01001_016E,Male,50 to 54 years,1161,292,2021 5 YR
60007,B01001_017E,Male,55 to 59 years,1145,235,2021 5 YR
60007,B01001_018E,Male,60 and 61 years,580,172,2021 5 YR
60007,B01001_019E,Male,62 to 64 years,813,250,2021 5 YR
60007,B01001_020E,Male,65 and 66 years,269,93,2021 5 YR
60007,B01001_021E,Male,67 to 69 years,335,106,2021 5 YR
60007,B01001_022E,Male,70 to 74 years,840,216,2021 5 YR
60007,B01001_023E,Male,75 to 79 years,311,144,2021 5 YR
60007,B01001_024E,Male,80 to 84 years,425,135,2021 5 YR
60007,B01001_025E,Male,85 years and over,267,119,2021 5 YR
60007,B01001_027E,Female,Under 5 years,773,250,2021 5 YR
60007,B01001_028E,Female,5 to 9 years,1101,330,2021 5 YR
60007,B01001_029E,Female,10 to 14 years,1197,258,2021 5 YR
60007,B01001_030E,Female,15 to 17 years,639,238,2021 5 YR
60007,B01001_031E,Female,18 and 19 years,253,140,2021 5 YR
60007,B01001_032E,Female,20 years,187,119,2021 5 YR
60007,B01001_033E,Female,21 years,77,60,2021 5 YR
60007,B01001_034E,Female,22 to 24 years,454,183,2021 5 YR
60007,B01001_035E,Female,25 to 29 years,768,269,2021 5 YR
60007,B01001_036E,Female,30 to 34 years,795,228,2021 5 YR
60007,B01001_037E,Female,35 to 39 years,1653,331,2021 5 YR
60007,B01001_038E,Female,40 to 44 years,923,189,2021 5 YR
60007,B01001_039E,Female,45 to 49 years,983,253,2021 5 YR
60007,B01001_040E,Female,50 to 54 years,1160,221,2021 5 YR
60007,B01001_041E,Female,55 to 59 years,1376,267,2021 5 YR
60007,B01001_042E,Female,60 and 61 years,541,168,2021 5 YR
60007,B01001_043E,Female,62 to 64 years,693,260,2021 5 YR
60007,B01001_044E,Female,65 and 66 years,384,130,2021 5 YR
60007,B01001_045E,Female,67 to 69 years,635,162,2021 5 YR
60007,B01001_046E,Female,70 to 74 years,843,188,2021 5 YR
60007,B01001_047E,Female,75 to 79 years,650,171,2021 5 YR
60007,B01001_048E,Female,80 to 84 years,633,223,2021 5 YR
60007,B01001_049E,Female,85 years and over,455,148,2021 5 YR
60008,B01001_003E,Male,Under 5 years,1091,412,2021 5 YR
60008,B01001_004E,Male,5 to 9 years,591,195,2021 5 YR
60008,B01001_005E,Male,10 to 14 years,817,226,2021 5 YR
60008,B01001_006E,Male,15 to 17 years,312,135,2021 5 YR
60008,B01001_007E,Male,18 and 19 years,183,127,2021 5 YR
60008,B01001_008E,Male,20 years,233,165,2021 5 YR
60008,B01001_009E,Male,21 years,130,94,2021 5 YR
60008,B01001_010E,Male,22 to 24 years,424,238,2021 5 YR
60008,B01001_011E,Male,25 to 29 years,932,255,2021 5 YR
60008,B01001_012E,Male,30 to 34 years,1145,277,2021 5 YR
60008,B01001_013E,Male,35 to 39 years,654,185,2021 5 YR
60008,B01001_014E,Male,40 to 44 years,730,197,2021 5 YR
60008,B01001_015E,Male,45 to 49 years,699,201,2021 5 YR
60008,B01001_016E,Male,50 to 54 years,776,213,2021 5 YR
60008,B01001_017E,Male,55 to 59 years,896,232,2021 5 YR
60008,B01001_018E,Male,60 and 61 years,280,131,2021 5 YR
60008,B01001_019E,Male,62 to 64 years,253,87,2021 5 YR
60008,B01001_020E,Male,65 and 66 years,302,112,2021 5 YR
60008,B01001_021E,Male,67 to 69 years,189,85,2021 5 YR
60008,B01001_022E,Male,70 to 74 years,577,211,2021 5 YR
60008,B01001_023E,Male,75 to 79 years,237,103,2021 5 YR
60008,B01001_024E,Male,80 to 84 years,146,73,2021 5 YR
60008,B01001_025E,Male,85 years and over,145,69,2021 5 YR
60008,B01001_027E,Female,Under 5 years,798,213,2021 5 YR
60008,B01001_028E,Female,5 to 9 years,572,161,2021 5 YR
