"zip_code","variable","sex","age","estimate"
60007,"B01001_028E","Female","5 to 9 years",800
60007,"B01001_029E","Female","10 to 14 years",916
60007,"B01001_030E","Female","15 to 17 years",405
60007,"B01001_031E","Female","18 and 19 years",146
60007,"B01001_032E","Female","20 years",186
60007,"B01001_033E","Female","21 years",92
60007,"B01001_034E","Female","22 to 24 years",636
60007,"B01001_035E","Female","25 to 29 years",1088
60007,"B01001_036E","Female","30 to 34 years",1137
60007,"B01001_037E","Female","35 to 39 years",1171
60007,"B01001_038E","Female","40 to 44 years",926
60007,"B01001_039E","Female","45 to 49 years",1204
60007,"B01001_040E","Female","50 to 54 years",1077
60007,"B01001_041E","Female","55 to 59 years",1412
60007,"B01001_042E","Female","60 and 61 years",651
60007,"B01001_043E","Female","62 to 64 years",627
60007,"B01001_044E","Female","65 and 66 years",442
60007,"B01001_045E","Female","67 to 69 years",561
60007,"B01001_046E","Female","70 to 74 years",868
60007,"B01001_047E","Female","75 to 79 years",732
60007,"B01001_048E","Female","80 to 84 years",561
60007,"B01001_049E","Female","85 years and over",605
60008,"B01001_003E","Male","Under 5 years",866
60008,"B01001_004E","Male","5 to 9 years",697
60008,"B01001_005E","Male","10 to 14 years",528
60008,"B01001_006E","Male","15 to 17 years",263
60008,"B01001_007E","Male","18 and 19 years",154
60008,"B01001_008E","Male","20 years",352
60008,"B01001_009E","Male","21 years",91
60008,"B01001_010E","Male","22 to 24 years",374
60008,"B01001_011E","Male","25 to 29 years",1221
60008,"B01001_012E","Male","30 to 34 years",964
60008,"B01001_013E","Male","35 to 39 years",672
60008,"B01001_014E","Male","40 to 44 years",695
60008,"B01001_015E","Male","45 to 49 years",633
60008,"B01001_016E","Male","50 to 54 years",615
60008,"B01001_017E","Male","55 to 59 years",809
60008,"B01001_018E","Male","60 and 61 years",238
60008,"B01001_019E","Male","62 to 64 years",283
60008,"B01001_020E","Male","65 and 66 years",281
60008,"B01001_021E","Male","67 to 69 years",218
60008,"B01001_022E","Male","70 to 74 years",347
60008,"B01001_023E","Male","75 to 79 years",226
60008,"B01001_024E","Male","80 to 84 years",195
60008,"B01001_025E","Male","85 years and over",143
60008,"B01001_027E","Female","Under 5 years",669
60008,"B01001_028E","Female","5 to 9 years",682
60008,"B01001_029E","Female","10 to 14 years",667
60008,"B01001_030E","Female","15 to 17 years",326
60008,"B01001_031E","Female","18 and 19 years",239
60008,"B01001_032E","Female","20 years",28
60008,"B01001_033E","Female","21 years",208
60008,"B01001_034E","Female","22 to 24 years",235
60008,"B01001_035E","Female","25 to 29 years",527
60008,"B01001_036E","Female","30 to 34 years",1121
60008,"B01001_037E","Female","35 to 39 years",512
60008,"B01001_038E","Female","40 to 44 years",694
60008,"B01001_039E","Female","45 to 49 years",640
60008,"B01001_040E","Female","50 to 54 years",839
