zip_code,zcta_2010_pop,zcta_2010_pop_cook,percent_pop,partial_pop,primary_city,percent_addresses,district,nssp_region,notes
60456,4349,4349,100,FALSE,Hometown,100,Southwest District,IL_Cook,NA
60457,14049,14049,100,FALSE,Hickory Hills,100,Southwest District,IL_Cook,NA
60458,14428,14428,100,FALSE,Justice,100,Southwest District,IL_Cook,NA
60459,28929,28929,100,FALSE,Burbank,100,OOJ,IL_Cook,NA
60461,4836,4836,100,FALSE,Olympia Fields,100,South District,IL_Cook,NA
60462,38723,38723,100,FALSE,Orland Park,100,Southwest District,IL_Cook,NA
60463,14671,14671,100,FALSE,Palos Heights,100,Southwest District,IL_Cook,NA
60464,9620,9620,100,FALSE,Palos Park,100,Southwest District,IL_Cook,NA
60465,17495,17495,100,FALSE,Palos Hills,100,Southwest District,IL_Cook,NA
60466,22115,18630,84.24,TRUE,Park Forest,83.54,South District,IL_Will,NA
60467,26046,23733,91.12,TRUE,Orland Park,88.09,Southwest District,IL_Cook,NA
60469,5930,5930,100,FALSE,Posen,100,South District,IL_Cook,NA
60471,14101,14036,99.54,TRUE,Richton Park,99.27,South District,IL_Cook,NA
60472,5390,5390,100,FALSE,Robbins,100,South District,IL_Cook,NA
60473,22439,22439,100,FALSE,South Holland,100,South District,IL_Cook,NA
60475,9870,4265,43.21,TRUE,Steger,41.22,South District,IL_Cook,NA
60476,2391,2391,100,FALSE,Thornton,100,South District,IL_Cook,NA
60477,38161,38158,99.99,TRUE,Tinley Park,97.9,South District,IL_Cook,NA
60478,16833,16833,100,FALSE,Country Club Hills,100,South District,IL_Cook,NA
60480,5246,5246,100,FALSE,Willow Springs,100,Southwest District,IL_Cook,NA
60482,11063,11063,100,FALSE,Worth,100,Southwest District,IL_Cook,NA
60487,26928,19307,71.7,TRUE,Tinley Park,80.14,Southwest District,IL_Cook,NA
60501,11626,11626,100,FALSE,Summit Argo,100,Southwest District,IL_Cook,NA
60513,19047,19047,100,FALSE,Brookfield,100,West District,IL_Cook,NA
60521,17597,2227,12.66,TRUE,Hinsdale,7.37,West District,IL_DuPage,NA
60523,9890,NA,NA,NA,Oak Brook,0.13,NA,IL_DuPage,NA
60525,31168,31168,100,FALSE,La Grange,100,West District,IL_Cook,NA
60526,13576,13576,100,FALSE,La Grange Park,100,West District,IL_Cook,NA
60527,27486,4035,14.68,TRUE,Willowbrook,11.3,West District,IL_DuPage,NA
60534,10649,10649,100,FALSE,Lyons,100,West District,IL_Cook,NA
60546,15668,15668,100,FALSE,Riverside,100,West District,IL_Cook,NA
60558,12960,12960,100,FALSE,Western Springs,100,West District,IL_Cook,NA
60601,11110,11110,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60602,1204,1204,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60603,493,493,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60604,570,570,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60605,24668,24668,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60606,2308,2308,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60607,23897,23897,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60608,82739,82739,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60609,64906,64906,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60610,37726,37726,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60611,28718,28718,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60612,33472,33472,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60613,48281,48281,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60614,66617,66617,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60615,40603,40603,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60616,48433,48433,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60617,84155,84155,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60618,92084,92084,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60619,63825,63825,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60620,72216,72216,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60621,35912,35912,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60622,52548,52548,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60623,92108,92108,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60624,38105,38105,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60625,78651,78651,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60626,50139,50139,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60628,72202,72202,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60629,113916,113916,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60630,54093,54093,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60631,28641,28641,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60632,91326,91326,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60633,12927,12927,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60634,74298,74298,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60636,40916,40916,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60637,49503,49503,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60638,55026,55026,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60639,90407,90407,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60640,65790,65790,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60641,71663,71663,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60642,18480,18480,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60643,49952,49952,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60644,48648,48648,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60645,45274,45274,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60646,27177,27177,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60647,87291,87291,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
