census_name,clean_name,census_place_code,variable,sex,age,estimate,margin_of_error
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_018E,Male,60 and 61 years,550,158
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_019E,Male,62 to 64 years,602,147
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_020E,Male,65 and 66 years,344,127
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_021E,Male,67 to 69 years,470,140
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_022E,Male,70 to 74 years,752,198
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_023E,Male,75 to 79 years,386,143
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_024E,Male,80 to 84 years,455,134
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_025E,Male,85 years and over,166,78
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_027E,Female,Under 5 years,883,201
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_028E,Female,5 to 9 years,800,259
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_029E,Female,10 to 14 years,903,202
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_030E,Female,15 to 17 years,405,133
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_031E,Female,18 and 19 years,189,110
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_032E,Female,20 years,186,91
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_033E,Female,21 years,92,54
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_034E,Female,22 to 24 years,626,168
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_035E,Female,25 to 29 years,1088,296
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_036E,Female,30 to 34 years,1137,243
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_037E,Female,35 to 39 years,1171,249
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_038E,Female,40 to 44 years,914,192
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_039E,Female,45 to 49 years,1227,255
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_040E,Female,50 to 54 years,1048,218
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_041E,Female,55 to 59 years,1361,237
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_042E,Female,60 and 61 years,651,154
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_043E,Female,62 to 64 years,612,154
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_044E,Female,65 and 66 years,429,142
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_045E,Female,67 to 69 years,561,130
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_046E,Female,70 to 74 years,868,176
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_047E,Female,75 to 79 years,696,197
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_048E,Female,80 to 84 years,561,190
"Elk Grove Village village, Illinois",Elk Grove Village,23256,B01001_049E,Female,85 years and over,605,177
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_003E,Male,Under 5 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_004E,Male,5 to 9 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_005E,Male,10 to 14 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_006E,Male,15 to 17 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_007E,Male,18 and 19 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_008E,Male,20 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_009E,Male,21 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_010E,Male,22 to 24 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_011E,Male,25 to 29 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_012E,Male,30 to 34 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_013E,Male,35 to 39 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_014E,Male,40 to 44 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_015E,Male,45 to 49 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_016E,Male,50 to 54 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_017E,Male,55 to 59 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_018E,Male,60 and 61 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_019E,Male,62 to 64 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_020E,Male,65 and 66 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_021E,Male,67 to 69 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_022E,Male,70 to 74 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_023E,Male,75 to 79 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_024E,Male,80 to 84 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_025E,Male,85 years and over,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_027E,Female,Under 5 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_028E,Female,5 to 9 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_029E,Female,10 to 14 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_030E,Female,15 to 17 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_031E,Female,18 and 19 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_032E,Female,20 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_033E,Female,21 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_034E,Female,22 to 24 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_035E,Female,25 to 29 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_036E,Female,30 to 34 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_037E,Female,35 to 39 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_038E,Female,40 to 44 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_039E,Female,45 to 49 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_040E,Female,50 to 54 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_041E,Female,55 to 59 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_042E,Female,60 and 61 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_043E,Female,62 to 64 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_044E,Female,65 and 66 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_045E,Female,67 to 69 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_046E,Female,70 to 74 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_047E,Female,75 to 79 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_048E,Female,80 to 84 years,0,11
"Cook County (part), Elmhurst city, Illinois",Elmhurst,23620,B01001_049E,Female,85 years and over,0,11
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_003E,Male,Under 5 years,577,172
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_004E,Male,5 to 9 years,763,191
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_005E,Male,10 to 14 years,664,192
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_006E,Male,15 to 17 years,443,150
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_007E,Male,18 and 19 years,189,94
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_008E,Male,20 years,396,227
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_009E,Male,21 years,174,109
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_010E,Male,22 to 24 years,409,125
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_011E,Male,25 to 29 years,580,143
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_012E,Male,30 to 34 years,894,176
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_013E,Male,35 to 39 years,909,218
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_014E,Male,40 to 44 years,827,178
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_015E,Male,45 to 49 years,610,196
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_016E,Male,50 to 54 years,822,218
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_017E,Male,55 to 59 years,990,184
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_018E,Male,60 and 61 years,271,120
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_019E,Male,62 to 64 years,343,109
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_020E,Male,65 and 66 years,211,100
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_021E,Male,67 to 69 years,527,156
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_022E,Male,70 to 74 years,363,94
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_023E,Male,75 to 79 years,304,127
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_024E,Male,80 to 84 years,182,115
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_025E,Male,85 years and over,122,58
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_027E,Female,Under 5 years,650,172
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_028E,Female,5 to 9 years,977,224
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_029E,Female,10 to 14 years,599,173
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_030E,Female,15 to 17 years,480,142
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_031E,Female,18 and 19 years,430,141
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_032E,Female,20 years,155,92
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_033E,Female,21 years,75,48
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_034E,Female,22 to 24 years,462,159
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_035E,Female,25 to 29 years,856,237
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_036E,Female,30 to 34 years,831,150
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_037E,Female,35 to 39 years,745,183
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_038E,Female,40 to 44 years,889,186
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_039E,Female,45 to 49 years,743,220
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_040E,Female,50 to 54 years,868,202
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_041E,Female,55 to 59 years,856,154
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_042E,Female,60 and 61 years,453,125
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_043E,Female,62 to 64 years,673,200
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_044E,Female,65 and 66 years,185,86
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_045E,Female,67 to 69 years,499,173
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_046E,Female,70 to 74 years,569,142
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_047E,Female,75 to 79 years,386,133
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_048E,Female,80 to 84 years,228,102
"Elmwood Park village, Illinois",Elmwood Park,23724,B01001_049E,Female,85 years and over,289,100
"Evanston city, Illinois",Evanston,24582,B01001_003E,Male,Under 5 years,2032,278
"Evanston city, Illinois",Evanston,24582,B01001_004E,Male,5 to 9 years,2271,242
"Evanston city, Illinois",Evanston,24582,B01001_005E,Male,10 to 14 years,2115,237
"Evanston city, Illinois",Evanston,24582,B01001_006E,Male,15 to 17 years,1275,170
"Evanston city, Illinois",Evanston,24582,B01001_007E,Male,18 and 19 years,1737,300
"Evanston city, Illinois",Evanston,24582,B01001_008E,Male,20 years,1462,554
"Evanston city, Illinois",Evanston,24582,B01001_009E,Male,21 years,701,225
"Evanston city, Illinois",Evanston,24582,B01001_010E,Male,22 to 24 years,1484,286
"Evanston city, Illinois",Evanston,24582,B01001_011E,Male,25 to 29 years,2521,330
"Evanston city, Illinois",Evanston,24582,B01001_012E,Male,30 to 34 years,2062,313
"Evanston city, Illinois",Evanston,24582,B01001_013E,Male,35 to 39 years,1875,275
"Evanston city, Illinois",Evanston,24582,B01001_014E,Male,40 to 44 years,2294,278
"Evanston city, Illinois",Evanston,24582,B01001_015E,Male,45 to 49 years,2201,314
"Evanston city, Illinois",Evanston,24582,B01001_016E,Male,50 to 54 years,1909,289
"Evanston city, Illinois",Evanston,24582,B01001_017E,Male,55 to 59 years,2035,276
"Evanston city, Illinois",Evanston,24582,B01001_018E,Male,60 and 61 years,832,186
"Evanston city, Illinois",Evanston,24582,B01001_019E,Male,62 to 64 years,1360,214
"Evanston city, Illinois",Evanston,24582,B01001_020E,Male,65 and 66 years,729,139
"Evanston city, Illinois",Evanston,24582,B01001_021E,Male,67 to 69 years,868,144
"Evanston city, Illinois",Evanston,24582,B01001_022E,Male,70 to 74 years,1414,232
"Evanston city, Illinois",Evanston,24582,B01001_023E,Male,75 to 79 years,753,151
"Evanston city, Illinois",Evanston,24582,B01001_024E,Male,80 to 84 years,381,117
"Evanston city, Illinois",Evanston,24582,B01001_025E,Male,85 years and over,559,148
"Evanston city, Illinois",Evanston,24582,B01001_027E,Female,Under 5 years,2025,352
"Evanston city, Illinois",Evanston,24582,B01001_028E,Female,5 to 9 years,1920,270
"Evanston city, Illinois",Evanston,24582,B01001_029E,Female,10 to 14 years,2092,236
"Evanston city, Illinois",Evanston,24582,B01001_030E,Female,15 to 17 years,1372,261
"Evanston city, Illinois",Evanston,24582,B01001_031E,Female,18 and 19 years,1962,265
"Evanston city, Illinois",Evanston,24582,B01001_032E,Female,20 years,1317,289
"Evanston city, Illinois",Evanston,24582,B01001_033E,Female,21 years,1222,337
"Evanston city, Illinois",Evanston,24582,B01001_034E,Female,22 to 24 years,1713,299
"Evanston city, Illinois",Evanston,24582,B01001_035E,Female,25 to 29 years,2733,386
"Evanston city, Illinois",Evanston,24582,B01001_036E,Female,30 to 34 years,2472,310
"Evanston city, Illinois",Evanston,24582,B01001_037E,Female,35 to 39 years,2064,237
"Evanston city, Illinois",Evanston,24582,B01001_038E,Female,40 to 44 years,2518,274
"Evanston city, Illinois",Evanston,24582,B01001_039E,Female,45 to 49 years,2278,278
"Evanston city, Illinois",Evanston,24582,B01001_040E,Female,50 to 54 years,2478,309
"Evanston city, Illinois",Evanston,24582,B01001_041E,Female,55 to 59 years,2471,299
"Evanston city, Illinois",Evanston,24582,B01001_042E,Female,60 and 61 years,911,168
"Evanston city, Illinois",Evanston,24582,B01001_043E,Female,62 to 64 years,1274,202
"Evanston city, Illinois",Evanston,24582,B01001_044E,Female,65 and 66 years,854,167
"Evanston city, Illinois",Evanston,24582,B01001_045E,Female,67 to 69 years,1207,163
"Evanston city, Illinois",Evanston,24582,B01001_046E,Female,70 to 74 years,1718,253
"Evanston city, Illinois",Evanston,24582,B01001_047E,Female,75 to 79 years,717,147
"Evanston city, Illinois",Evanston,24582,B01001_048E,Female,80 to 84 years,881,176
"Evanston city, Illinois",Evanston,24582,B01001_049E,Female,85 years and over,1518,232
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_003E,Male,Under 5 years,501,152
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_004E,Male,5 to 9 years,639,153
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_005E,Male,10 to 14 years,730,191
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_006E,Male,15 to 17 years,397,124
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_007E,Male,18 and 19 years,148,78
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_008E,Male,20 years,106,76
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_009E,Male,21 years,136,76
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_010E,Male,22 to 24 years,352,124
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_011E,Male,25 to 29 years,508,164
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_012E,Male,30 to 34 years,509,124
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_013E,Male,35 to 39 years,429,130
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_014E,Male,40 to 44 years,628,139
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_015E,Male,45 to 49 years,470,123
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_016E,Male,50 to 54 years,744,139
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_017E,Male,55 to 59 years,613,157
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_018E,Male,60 and 61 years,296,106
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_019E,Male,62 to 64 years,382,128
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_020E,Male,65 and 66 years,169,66
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_021E,Male,67 to 69 years,238,79
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_022E,Male,70 to 74 years,250,72
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_023E,Male,75 to 79 years,193,72
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_024E,Male,80 to 84 years,78,34
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_025E,Male,85 years and over,104,54
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_027E,Female,Under 5 years,731,217
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_028E,Female,5 to 9 years,648,127
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_029E,Female,10 to 14 years,593,157
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_030E,Female,15 to 17 years,423,132
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_031E,Female,18 and 19 years,356,125
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_032E,Female,20 years,149,80
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_033E,Female,21 years,188,153
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_034E,Female,22 to 24 years,239,101
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_035E,Female,25 to 29 years,807,245
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_036E,Female,30 to 34 years,605,156
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_037E,Female,35 to 39 years,581,130
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_038E,Female,40 to 44 years,715,139
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_039E,Female,45 to 49 years,768,176
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_040E,Female,50 to 54 years,874,184
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_041E,Female,55 to 59 years,921,175
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_042E,Female,60 and 61 years,292,111
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_043E,Female,62 to 64 years,327,95
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_044E,Female,65 and 66 years,253,85
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_045E,Female,67 to 69 years,247,80
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_046E,Female,70 to 74 years,334,100
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_047E,Female,75 to 79 years,277,96
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_048E,Female,80 to 84 years,189,74
"Evergreen Park village, Illinois",Evergreen Park,24634,B01001_049E,Female,85 years and over,342,93
"Flossmoor village, Illinois",Flossmoor,26571,B01001_003E,Male,Under 5 years,571,235
"Flossmoor village, Illinois",Flossmoor,26571,B01001_004E,Male,5 to 9 years,236,115
"Flossmoor village, Illinois",Flossmoor,26571,B01001_005E,Male,10 to 14 years,237,105
"Flossmoor village, Illinois",Flossmoor,26571,B01001_006E,Male,15 to 17 years,164,82
"Flossmoor village, Illinois",Flossmoor,26571,B01001_007E,Male,18 and 19 years,112,135
"Flossmoor village, Illinois",Flossmoor,26571,B01001_008E,Male,20 years,0,16
"Flossmoor village, Illinois",Flossmoor,26571,B01001_009E,Male,21 years,153,146
"Flossmoor village, Illinois",Flossmoor,26571,B01001_010E,Male,22 to 24 years,92,68
"Flossmoor village, Illinois",Flossmoor,26571,B01001_011E,Male,25 to 29 years,34,40
"Flossmoor village, Illinois",Flossmoor,26571,B01001_012E,Male,30 to 34 years,216,118
"Flossmoor village, Illinois",Flossmoor,26571,B01001_013E,Male,35 to 39 years,251,111
"Flossmoor village, Illinois",Flossmoor,26571,B01001_014E,Male,40 to 44 years,337,147
"Flossmoor village, Illinois",Flossmoor,26571,B01001_015E,Male,45 to 49 years,291,152
"Flossmoor village, Illinois",Flossmoor,26571,B01001_016E,Male,50 to 54 years,274,130
"Flossmoor village, Illinois",Flossmoor,26571,B01001_017E,Male,55 to 59 years,300,99
"Flossmoor village, Illinois",Flossmoor,26571,B01001_018E,Male,60 and 61 years,140,77
"Flossmoor village, Illinois",Flossmoor,26571,B01001_019E,Male,62 to 64 years,204,87
"Flossmoor village, Illinois",Flossmoor,26571,B01001_020E,Male,65 and 66 years,63,50
"Flossmoor village, Illinois",Flossmoor,26571,B01001_021E,Male,67 to 69 years,184,99
"Flossmoor village, Illinois",Flossmoor,26571,B01001_022E,Male,70 to 74 years,238,106
"Flossmoor village, Illinois",Flossmoor,26571,B01001_023E,Male,75 to 79 years,111,52
"Flossmoor village, Illinois",Flossmoor,26571,B01001_024E,Male,80 to 84 years,107,64
"Flossmoor village, Illinois",Flossmoor,26571,B01001_025E,Male,85 years and over,127,68
"Flossmoor village, Illinois",Flossmoor,26571,B01001_027E,Female,Under 5 years,300,120
"Flossmoor village, Illinois",Flossmoor,26571,B01001_028E,Female,5 to 9 years,249,132
"Flossmoor village, Illinois",Flossmoor,26571,B01001_029E,Female,10 to 14 years,287,142
"Flossmoor village, Illinois",Flossmoor,26571,B01001_030E,Female,15 to 17 years,149,80
"Flossmoor village, Illinois",Flossmoor,26571,B01001_031E,Female,18 and 19 years,28,39
"Flossmoor village, Illinois",Flossmoor,26571,B01001_032E,Female,20 years,379,232
"Flossmoor village, Illinois",Flossmoor,26571,B01001_033E,Female,21 years,0,16
"Flossmoor village, Illinois",Flossmoor,26571,B01001_034E,Female,22 to 24 years,103,74
"Flossmoor village, Illinois",Flossmoor,26571,B01001_035E,Female,25 to 29 years,145,84
"Flossmoor village, Illinois",Flossmoor,26571,B01001_036E,Female,30 to 34 years,223,127
"Flossmoor village, Illinois",Flossmoor,26571,B01001_037E,Female,35 to 39 years,253,111
"Flossmoor village, Illinois",Flossmoor,26571,B01001_038E,Female,40 to 44 years,281,136
"Flossmoor village, Illinois",Flossmoor,26571,B01001_039E,Female,45 to 49 years,472,144
"Flossmoor village, Illinois",Flossmoor,26571,B01001_040E,Female,50 to 54 years,364,124
"Flossmoor village, Illinois",Flossmoor,26571,B01001_041E,Female,55 to 59 years,307,116
"Flossmoor village, Illinois",Flossmoor,26571,B01001_042E,Female,60 and 61 years,165,94
"Flossmoor village, Illinois",Flossmoor,26571,B01001_043E,Female,62 to 64 years,202,95
"Flossmoor village, Illinois",Flossmoor,26571,B01001_044E,Female,65 and 66 years,188,86
"Flossmoor village, Illinois",Flossmoor,26571,B01001_045E,Female,67 to 69 years,190,85
"Flossmoor village, Illinois",Flossmoor,26571,B01001_046E,Female,70 to 74 years,434,172
"Flossmoor village, Illinois",Flossmoor,26571,B01001_047E,Female,75 to 79 years,96,57
"Flossmoor village, Illinois",Flossmoor,26571,B01001_048E,Female,80 to 84 years,84,47
"Flossmoor village, Illinois",Flossmoor,26571,B01001_049E,Female,85 years and over,131,68
"Ford Heights village, Illinois",Ford Heights,26710,B01001_003E,Male,Under 5 years,148,82
"Ford Heights village, Illinois",Ford Heights,26710,B01001_004E,Male,5 to 9 years,140,88
"Ford Heights village, Illinois",Ford Heights,26710,B01001_005E,Male,10 to 14 years,66,52
"Ford Heights village, Illinois",Ford Heights,26710,B01001_006E,Male,15 to 17 years,62,44
"Ford Heights village, Illinois",Ford Heights,26710,B01001_007E,Male,18 and 19 years,28,30
"Ford Heights village, Illinois",Ford Heights,26710,B01001_008E,Male,20 years,0,11
"Ford Heights village, Illinois",Ford Heights,26710,B01001_009E,Male,21 years,27,42
"Ford Heights village, Illinois",Ford Heights,26710,B01001_010E,Male,22 to 24 years,48,41
"Ford Heights village, Illinois",Ford Heights,26710,B01001_011E,Male,25 to 29 years,131,72
"Ford Heights village, Illinois",Ford Heights,26710,B01001_012E,Male,30 to 34 years,49,43
"Ford Heights village, Illinois",Ford Heights,26710,B01001_013E,Male,35 to 39 years,85,45
"Ford Heights village, Illinois",Ford Heights,26710,B01001_014E,Male,40 to 44 years,35,27
"Ford Heights village, Illinois",Ford Heights,26710,B01001_015E,Male,45 to 49 years,40,28
"Ford Heights village, Illinois",Ford Heights,26710,B01001_016E,Male,50 to 54 years,134,73
"Ford Heights village, Illinois",Ford Heights,26710,B01001_017E,Male,55 to 59 years,83,46
"Ford Heights village, Illinois",Ford Heights,26710,B01001_018E,Male,60 and 61 years,26,20
"Ford Heights village, Illinois",Ford Heights,26710,B01001_019E,Male,62 to 64 years,51,47
"Ford Heights village, Illinois",Ford Heights,26710,B01001_020E,Male,65 and 66 years,5,8
"Ford Heights village, Illinois",Ford Heights,26710,B01001_021E,Male,67 to 69 years,46,45
"Ford Heights village, Illinois",Ford Heights,26710,B01001_022E,Male,70 to 74 years,18,16
"Ford Heights village, Illinois",Ford Heights,26710,B01001_023E,Male,75 to 79 years,39,39
"Ford Heights village, Illinois",Ford Heights,26710,B01001_024E,Male,80 to 84 years,28,36
"Ford Heights village, Illinois",Ford Heights,26710,B01001_025E,Male,85 years and over,17,14
"Ford Heights village, Illinois",Ford Heights,26710,B01001_027E,Female,Under 5 years,64,50
"Ford Heights village, Illinois",Ford Heights,26710,B01001_028E,Female,5 to 9 years,158,107
"Ford Heights village, Illinois",Ford Heights,26710,B01001_029E,Female,10 to 14 years,71,59
"Ford Heights village, Illinois",Ford Heights,26710,B01001_030E,Female,15 to 17 years,71,58
"Ford Heights village, Illinois",Ford Heights,26710,B01001_031E,Female,18 and 19 years,20,30
"Ford Heights village, Illinois",Ford Heights,26710,B01001_032E,Female,20 years,0,11
"Ford Heights village, Illinois",Ford Heights,26710,B01001_033E,Female,21 years,36,38
"Ford Heights village, Illinois",Ford Heights,26710,B01001_034E,Female,22 to 24 years,48,52
"Ford Heights village, Illinois",Ford Heights,26710,B01001_035E,Female,25 to 29 years,164,80
"Ford Heights village, Illinois",Ford Heights,26710,B01001_036E,Female,30 to 34 years,68,50
"Ford Heights village, Illinois",Ford Heights,26710,B01001_037E,Female,35 to 39 years,46,37
"Ford Heights village, Illinois",Ford Heights,26710,B01001_038E,Female,40 to 44 years,44,41
