census_name,clean_name,census_place_code,variable,sex,age,estimate,margin_of_error
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_020E,Male,65 and 66 years,1231,208
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_021E,Male,67 to 69 years,1002,183
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_022E,Male,70 to 74 years,1306,200
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_023E,Male,75 to 79 years,1102,207
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_024E,Male,80 to 84 years,847,140
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_025E,Male,85 years and over,913,182
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_027E,Female,Under 5 years,2051,357
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_028E,Female,5 to 9 years,2138,325
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_029E,Female,10 to 14 years,2321,336
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_030E,Female,15 to 17 years,1164,251
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_031E,Female,18 and 19 years,495,180
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_032E,Female,20 years,92,46
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_033E,Female,21 years,132,61
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_034E,Female,22 to 24 years,762,168
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_035E,Female,25 to 29 years,1919,271
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_036E,Female,30 to 34 years,2465,309
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_037E,Female,35 to 39 years,2495,271
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_038E,Female,40 to 44 years,2406,275
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_039E,Female,45 to 49 years,2797,373
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_040E,Female,50 to 54 years,2684,297
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_041E,Female,55 to 59 years,2894,370
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_042E,Female,60 and 61 years,1287,200
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_043E,Female,62 to 64 years,1926,261
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_044E,Female,65 and 66 years,1092,205
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_045E,Female,67 to 69 years,1494,237
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_046E,Female,70 to 74 years,1839,254
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_047E,Female,75 to 79 years,1221,211
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_048E,Female,80 to 84 years,951,201
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_049E,Female,85 years and over,1918,299
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_003E,Male,Under 5 years,195,88
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_004E,Male,5 to 9 years,307,113
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_005E,Male,10 to 14 years,164,98
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_006E,Male,15 to 17 years,136,97
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_007E,Male,18 and 19 years,18,27
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_008E,Male,20 years,0,16
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_009E,Male,21 years,19,31
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_010E,Male,22 to 24 years,30,36
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_011E,Male,25 to 29 years,102,93
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_012E,Male,30 to 34 years,99,67
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_013E,Male,35 to 39 years,202,101
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_014E,Male,40 to 44 years,169,78
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_015E,Male,45 to 49 years,152,69
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_016E,Male,50 to 54 years,160,97
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_017E,Male,55 to 59 years,246,107
