zcta,variable,sex,age,total_pop,pop_in_cook
60007,P012037,Female,35 to 39 years,1019,1019
60007,P012038,Female,40 to 44 years,1207,1207
60007,P012039,Female,45 to 49 years,1521,1521
60007,P012040,Female,50 to 54 years,1616,1616
60007,P012041,Female,55 to 59 years,1342,1342
60007,P012042,Female,60 and 61 years,438,438
60007,P012043,Female,62 to 64 years,661,661
60007,P012044,Female,65 and 66 years,330,330
60007,P012045,Female,67 to 69 years,495,495
60007,P012046,Female,70 to 74 years,616,616
60007,P012047,Female,75 to 79 years,627,627
60007,P012048,Female,80 to 84 years,434,434
60007,P012049,Female,85 years and over,468,468
60008,P012003,Male,Under 5 years,843,843
60008,P012004,Male,5 to 9 years,697,697
60008,P012005,Male,10 to 14 years,691,691
60008,P012006,Male,15 to 17 years,472,472
60008,P012007,Male,18 and 19 years,319,319
60008,P012008,Male,20 years,152,152
60008,P012009,Male,21 years,146,146
60008,P012010,Male,22 to 24 years,504,504
60008,P012011,Male,25 to 29 years,915,915
60008,P012012,Male,30 to 34 years,893,893
60008,P012013,Male,35 to 39 years,851,851
60008,P012014,Male,40 to 44 years,811,811
60008,P012015,Male,45 to 49 years,864,864
60008,P012016,Male,50 to 54 years,901,901
60008,P012017,Male,55 to 59 years,668,668
60008,P012018,Male,60 and 61 years,217,217
60008,P012019,Male,62 to 64 years,284,284
60008,P012020,Male,65 and 66 years,169,169
60008,P012021,Male,67 to 69 years,203,203
60008,P012022,Male,70 to 74 years,244,244
60008,P012023,Male,75 to 79 years,233,233
60008,P012024,Male,80 to 84 years,158,158
60008,P012025,Male,85 years and over,122,122
60008,P012027,Female,Under 5 years,777,777
60008,P012028,Female,5 to 9 years,679,679
60008,P012029,Female,10 to 14 years,693,693
60008,P012030,Female,15 to 17 years,414,414
60008,P012031,Female,18 and 19 years,249,249
60008,P012032,Female,20 years,104,104
60008,P012033,Female,21 years,120,120
60008,P012034,Female,22 to 24 years,420,420
60008,P012035,Female,25 to 29 years,840,840
60008,P012036,Female,30 to 34 years,813,813
60008,P012037,Female,35 to 39 years,766,766
60008,P012038,Female,40 to 44 years,787,787
60008,P012039,Female,45 to 49 years,830,830
60008,P012040,Female,50 to 54 years,903,903
60008,P012041,Female,55 to 59 years,713,713
60008,P012042,Female,60 and 61 years,237,237
60008,P012043,Female,62 to 64 years,327,327
60008,P012044,Female,65 and 66 years,162,162
60008,P012045,Female,67 to 69 years,282,282
60008,P012046,Female,70 to 74 years,338,338
60008,P012047,Female,75 to 79 years,347,347
60008,P012048,Female,80 to 84 years,281,281
60008,P012049,Female,85 years and over,278,278
60010,P012003,Male,Under 5 years,1049,458
60010,P012004,Male,5 to 9 years,1668,766
60010,P012005,Male,10 to 14 years,1924,856
60010,P012006,Male,15 to 17 years,1242,539
60010,P012007,Male,18 and 19 years,464,195
60010,P012008,Male,20 years,159,64
60010,P012009,Male,21 years,148,67
60010,P012010,Male,22 to 24 years,476,224
60010,P012011,Male,25 to 29 years,554,252
60010,P012012,Male,30 to 34 years,526,244
60010,P012013,Male,35 to 39 years,969,479
60010,P012014,Male,40 to 44 years,1512,646
60010,P012015,Male,45 to 49 years,2007,858
60010,P012016,Male,50 to 54 years,2086,911
60010,P012017,Male,55 to 59 years,1836,821
60010,P012018,Male,60 and 61 years,723,325
60010,P012019,Male,62 to 64 years,963,448
60010,P012020,Male,65 and 66 years,555,251
60010,P012021,Male,67 to 69 years,759,330
60010,P012022,Male,70 to 74 years,784,343
60010,P012023,Male,75 to 79 years,575,228
60010,P012024,Male,80 to 84 years,390,151
60010,P012025,Male,85 years and over,308,97
60010,P012027,Female,Under 5 years,953,411
60010,P012028,Female,5 to 9 years,1537,716
60010,P012029,Female,10 to 14 years,1910,833
