census_name,clean_name,census_place_code,variable,sex,age,estimate
"Arlington Heights village, Illinois",Arlington Heights,02154,P012029,Female,10 to 14 years,2315
"Arlington Heights village, Illinois",Arlington Heights,02154,P012030,Female,15 to 17 years,1491
"Arlington Heights village, Illinois",Arlington Heights,02154,P012031,Female,18 and 19 years,616
"Arlington Heights village, Illinois",Arlington Heights,02154,P012032,Female,20 years,261
"Arlington Heights village, Illinois",Arlington Heights,02154,P012033,Female,21 years,260
"Arlington Heights village, Illinois",Arlington Heights,02154,P012034,Female,22 to 24 years,1164
"Arlington Heights village, Illinois",Arlington Heights,02154,P012035,Female,25 to 29 years,2113
"Arlington Heights village, Illinois",Arlington Heights,02154,P012036,Female,30 to 34 years,2107
"Arlington Heights village, Illinois",Arlington Heights,02154,P012037,Female,35 to 39 years,2418
"Arlington Heights village, Illinois",Arlington Heights,02154,P012038,Female,40 to 44 years,2798
"Arlington Heights village, Illinois",Arlington Heights,02154,P012039,Female,45 to 49 years,3118
"Arlington Heights village, Illinois",Arlington Heights,02154,P012040,Female,50 to 54 years,3230
"Arlington Heights village, Illinois",Arlington Heights,02154,P012041,Female,55 to 59 years,2744
"Arlington Heights village, Illinois",Arlington Heights,02154,P012042,Female,60 and 61 years,965
"Arlington Heights village, Illinois",Arlington Heights,02154,P012043,Female,62 to 64 years,1443
"Arlington Heights village, Illinois",Arlington Heights,02154,P012044,Female,65 and 66 years,756
"Arlington Heights village, Illinois",Arlington Heights,02154,P012045,Female,67 to 69 years,1062
"Arlington Heights village, Illinois",Arlington Heights,02154,P012046,Female,70 to 74 years,1536
"Arlington Heights village, Illinois",Arlington Heights,02154,P012047,Female,75 to 79 years,1328
"Arlington Heights village, Illinois",Arlington Heights,02154,P012048,Female,80 to 84 years,1332
"Arlington Heights village, Illinois",Arlington Heights,02154,P012049,Female,85 years and over,1692
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012003,Male,Under 5 years,156
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012004,Male,5 to 9 years,228
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012005,Male,10 to 14 years,241
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012006,Male,15 to 17 years,155
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012007,Male,18 and 19 years,51
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012008,Male,20 years,14
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012009,Male,21 years,17
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012010,Male,22 to 24 years,56
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012011,Male,25 to 29 years,74
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012012,Male,30 to 34 years,95
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012013,Male,35 to 39 years,155
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012014,Male,40 to 44 years,208
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012015,Male,45 to 49 years,264
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012016,Male,50 to 54 years,237
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012017,Male,55 to 59 years,183
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012018,Male,60 and 61 years,65
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012019,Male,62 to 64 years,72
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012020,Male,65 and 66 years,46
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012021,Male,67 to 69 years,56
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012022,Male,70 to 74 years,75
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012023,Male,75 to 79 years,71
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012024,Male,80 to 84 years,62
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012025,Male,85 years and over,45
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012027,Female,Under 5 years,132
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012028,Female,5 to 9 years,237
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012029,Female,10 to 14 years,242
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012030,Female,15 to 17 years,166
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012031,Female,18 and 19 years,57
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012032,Female,20 years,15
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012033,Female,21 years,18
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012034,Female,22 to 24 years,62
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012035,Female,25 to 29 years,97
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012036,Female,30 to 34 years,131
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012037,Female,35 to 39 years,178
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012038,Female,40 to 44 years,210
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012039,Female,45 to 49 years,273
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012040,Female,50 to 54 years,279
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012041,Female,55 to 59 years,181
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012042,Female,60 and 61 years,66
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012043,Female,62 to 64 years,92
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012044,Female,65 and 66 years,55
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012045,Female,67 to 69 years,80
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012046,Female,70 to 74 years,118
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012047,Female,75 to 79 years,105
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012048,Female,80 to 84 years,103
"Cook County (part), Barrington village, Illinois",Barrington,03844,P012049,Female,85 years and over,108
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012003,Male,Under 5 years,29
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012004,Male,5 to 9 years,67
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012005,Male,10 to 14 years,95
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012006,Male,15 to 17 years,62
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012007,Male,18 and 19 years,25
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012008,Male,20 years,7
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012009,Male,21 years,7
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012010,Male,22 to 24 years,17
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012011,Male,25 to 29 years,26
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012012,Male,30 to 34 years,13
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012013,Male,35 to 39 years,34
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012014,Male,40 to 44 years,56
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012015,Male,45 to 49 years,94
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012016,Male,50 to 54 years,128
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012017,Male,55 to 59 years,98
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012018,Male,60 and 61 years,42
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012019,Male,62 to 64 years,66
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012020,Male,65 and 66 years,32
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012021,Male,67 to 69 years,56
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012022,Male,70 to 74 years,44
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012023,Male,75 to 79 years,39
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012024,Male,80 to 84 years,22
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012025,Male,85 years and over,15
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012027,Female,Under 5 years,22
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012028,Female,5 to 9 years,75
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012029,Female,10 to 14 years,105
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012030,Female,15 to 17 years,62
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012031,Female,18 and 19 years,27
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012032,Female,20 years,9
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012033,Female,21 years,6
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012034,Female,22 to 24 years,23
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012035,Female,25 to 29 years,20
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012036,Female,30 to 34 years,15
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012037,Female,35 to 39 years,41
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012038,Female,40 to 44 years,90
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012039,Female,45 to 49 years,104
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012040,Female,50 to 54 years,125
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012041,Female,55 to 59 years,106
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012042,Female,60 and 61 years,39
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012043,Female,62 to 64 years,43
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012044,Female,65 and 66 years,33
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012045,Female,67 to 69 years,42
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012046,Female,70 to 74 years,48
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012047,Female,75 to 79 years,23
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012048,Female,80 to 84 years,15
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,P012049,Female,85 years and over,21
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012003,Male,Under 5 years,683
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012004,Male,5 to 9 years,666
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012005,Male,10 to 14 years,592
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012006,Male,15 to 17 years,329
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012007,Male,18 and 19 years,157
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012008,Male,20 years,65
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012009,Male,21 years,62
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012010,Male,22 to 24 years,226
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012011,Male,25 to 29 years,488
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012012,Male,30 to 34 years,645
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012013,Male,35 to 39 years,752
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012014,Male,40 to 44 years,765
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012015,Male,45 to 49 years,659
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012016,Male,50 to 54 years,539
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012017,Male,55 to 59 years,439
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012018,Male,60 and 61 years,175
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012019,Male,62 to 64 years,235
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012020,Male,65 and 66 years,109
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012021,Male,67 to 69 years,135
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012022,Male,70 to 74 years,161
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012023,Male,75 to 79 years,90
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012024,Male,80 to 84 years,106
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012025,Male,85 years and over,64
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012027,Female,Under 5 years,687
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012028,Female,5 to 9 years,609
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012029,Female,10 to 14 years,590
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012030,Female,15 to 17 years,313
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012031,Female,18 and 19 years,138
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012032,Female,20 years,64
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012033,Female,21 years,64
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012034,Female,22 to 24 years,211
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012035,Female,25 to 29 years,515
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012036,Female,30 to 34 years,689
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012037,Female,35 to 39 years,797
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012038,Female,40 to 44 years,729
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012039,Female,45 to 49 years,689
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012040,Female,50 to 54 years,561
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012041,Female,55 to 59 years,519
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012042,Female,60 and 61 years,178
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012043,Female,62 to 64 years,254
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012044,Female,65 and 66 years,113
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012045,Female,67 to 69 years,166
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012046,Female,70 to 74 years,228
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012047,Female,75 to 79 years,174
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012048,Female,80 to 84 years,177
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,P012049,Female,85 years and over,190
"Bedford Park village, Illinois",Bedford Park,04572,P012003,Male,Under 5 years,16
"Bedford Park village, Illinois",Bedford Park,04572,P012004,Male,5 to 9 years,22
"Bedford Park village, Illinois",Bedford Park,04572,P012005,Male,10 to 14 years,18
"Bedford Park village, Illinois",Bedford Park,04572,P012006,Male,15 to 17 years,14
"Bedford Park village, Illinois",Bedford Park,04572,P012007,Male,18 and 19 years,8
"Bedford Park village, Illinois",Bedford Park,04572,P012008,Male,20 years,3
"Bedford Park village, Illinois",Bedford Park,04572,P012009,Male,21 years,4
"Bedford Park village, Illinois",Bedford Park,04572,P012010,Male,22 to 24 years,7
"Bedford Park village, Illinois",Bedford Park,04572,P012011,Male,25 to 29 years,18
"Bedford Park village, Illinois",Bedford Park,04572,P012012,Male,30 to 34 years,22
"Bedford Park village, Illinois",Bedford Park,04572,P012013,Male,35 to 39 years,19
"Bedford Park village, Illinois",Bedford Park,04572,P012014,Male,40 to 44 years,18
"Bedford Park village, Illinois",Bedford Park,04572,P012015,Male,45 to 49 years,20
"Bedford Park village, Illinois",Bedford Park,04572,P012016,Male,50 to 54 years,24
"Bedford Park village, Illinois",Bedford Park,04572,P012017,Male,55 to 59 years,12
"Bedford Park village, Illinois",Bedford Park,04572,P012018,Male,60 and 61 years,7
"Bedford Park village, Illinois",Bedford Park,04572,P012019,Male,62 to 64 years,7
"Bedford Park village, Illinois",Bedford Park,04572,P012020,Male,65 and 66 years,9
"Bedford Park village, Illinois",Bedford Park,04572,P012021,Male,67 to 69 years,9
"Bedford Park village, Illinois",Bedford Park,04572,P012022,Male,70 to 74 years,10
"Bedford Park village, Illinois",Bedford Park,04572,P012023,Male,75 to 79 years,4
"Bedford Park village, Illinois",Bedford Park,04572,P012024,Male,80 to 84 years,7
"Bedford Park village, Illinois",Bedford Park,04572,P012025,Male,85 years and over,5
"Bedford Park village, Illinois",Bedford Park,04572,P012027,Female,Under 5 years,17
"Bedford Park village, Illinois",Bedford Park,04572,P012028,Female,5 to 9 years,20
"Bedford Park village, Illinois",Bedford Park,04572,P012029,Female,10 to 14 years,16
"Bedford Park village, Illinois",Bedford Park,04572,P012030,Female,15 to 17 years,10
"Bedford Park village, Illinois",Bedford Park,04572,P012031,Female,18 and 19 years,5
"Bedford Park village, Illinois",Bedford Park,04572,P012032,Female,20 years,6
"Bedford Park village, Illinois",Bedford Park,04572,P012033,Female,21 years,6
"Bedford Park village, Illinois",Bedford Park,04572,P012034,Female,22 to 24 years,9
"Bedford Park village, Illinois",Bedford Park,04572,P012035,Female,25 to 29 years,18
"Bedford Park village, Illinois",Bedford Park,04572,P012036,Female,30 to 34 years,19
"Bedford Park village, Illinois",Bedford Park,04572,P012037,Female,35 to 39 years,17
"Bedford Park village, Illinois",Bedford Park,04572,P012038,Female,40 to 44 years,20
"Bedford Park village, Illinois",Bedford Park,04572,P012039,Female,45 to 49 years,23
"Bedford Park village, Illinois",Bedford Park,04572,P012040,Female,50 to 54 years,24
"Bedford Park village, Illinois",Bedford Park,04572,P012041,Female,55 to 59 years,19
"Bedford Park village, Illinois",Bedford Park,04572,P012042,Female,60 and 61 years,7
"Bedford Park village, Illinois",Bedford Park,04572,P012043,Female,62 to 64 years,10
"Bedford Park village, Illinois",Bedford Park,04572,P012044,Female,65 and 66 years,9
"Bedford Park village, Illinois",Bedford Park,04572,P012045,Female,67 to 69 years,9
"Bedford Park village, Illinois",Bedford Park,04572,P012046,Female,70 to 74 years,7
"Bedford Park village, Illinois",Bedford Park,04572,P012047,Female,75 to 79 years,7
"Bedford Park village, Illinois",Bedford Park,04572,P012048,Female,80 to 84 years,14
"Bedford Park village, Illinois",Bedford Park,04572,P012049,Female,85 years and over,5
"Bellwood village, Illinois",Bellwood,04975,P012003,Male,Under 5 years,592
"Bellwood village, Illinois",Bellwood,04975,P012004,Male,5 to 9 years,683
"Bellwood village, Illinois",Bellwood,04975,P012005,Male,10 to 14 years,754
"Bellwood village, Illinois",Bellwood,04975,P012006,Male,15 to 17 years,505
"Bellwood village, Illinois",Bellwood,04975,P012007,Male,18 and 19 years,334
"Bellwood village, Illinois",Bellwood,04975,P012008,Male,20 years,141
"Bellwood village, Illinois",Bellwood,04975,P012009,Male,21 years,119
"Bellwood village, Illinois",Bellwood,04975,P012010,Male,22 to 24 years,375
"Bellwood village, Illinois",Bellwood,04975,P012011,Male,25 to 29 years,583
"Bellwood village, Illinois",Bellwood,04975,P012012,Male,30 to 34 years,569
"Bellwood village, Illinois",Bellwood,04975,P012013,Male,35 to 39 years,552
"Bellwood village, Illinois",Bellwood,04975,P012014,Male,40 to 44 years,623
"Bellwood village, Illinois",Bellwood,04975,P012015,Male,45 to 49 years,586
"Bellwood village, Illinois",Bellwood,04975,P012016,Male,50 to 54 years,641
"Bellwood village, Illinois",Bellwood,04975,P012017,Male,55 to 59 years,563
"Bellwood village, Illinois",Bellwood,04975,P012018,Male,60 and 61 years,221
"Bellwood village, Illinois",Bellwood,04975,P012019,Male,62 to 64 years,295
"Bellwood village, Illinois",Bellwood,04975,P012020,Male,65 and 66 years,129
"Bellwood village, Illinois",Bellwood,04975,P012021,Male,67 to 69 years,200
"Bellwood village, Illinois",Bellwood,04975,P012022,Male,70 to 74 years,189
"Bellwood village, Illinois",Bellwood,04975,P012023,Male,75 to 79 years,128
"Bellwood village, Illinois",Bellwood,04975,P012024,Male,80 to 84 years,68
"Bellwood village, Illinois",Bellwood,04975,P012025,Male,85 years and over,71
"Bellwood village, Illinois",Bellwood,04975,P012027,Female,Under 5 years,612
"Bellwood village, Illinois",Bellwood,04975,P012028,Female,5 to 9 years,641
"Bellwood village, Illinois",Bellwood,04975,P012029,Female,10 to 14 years,750
"Bellwood village, Illinois",Bellwood,04975,P012030,Female,15 to 17 years,473
"Bellwood village, Illinois",Bellwood,04975,P012031,Female,18 and 19 years,302
"Bellwood village, Illinois",Bellwood,04975,P012032,Female,20 years,135
"Bellwood village, Illinois",Bellwood,04975,P012033,Female,21 years,133
"Bellwood village, Illinois",Bellwood,04975,P012034,Female,22 to 24 years,407
"Bellwood village, Illinois",Bellwood,04975,P012035,Female,25 to 29 years,568
