geoid_zcta,variable,sex,age,total_pop,pop_in_cook
60062,P12_044N,Female,65 and 66 years,650,650
60062,P12_045N,Female,67 to 69 years,919,919
60062,P12_046N,Female,70 to 74 years,1435,1435
60062,P12_047N,Female,75 to 79 years,1252,1252
60062,P12_048N,Female,80 to 84 years,964,964
60062,P12_049N,Female,85 years and over,1324,1324
60067,P12_003N,Male,Under 5 years,952,952
60067,P12_004N,Male,5 to 9 years,1178,1178
60067,P12_005N,Male,10 to 14 years,1227,1227
60067,P12_006N,Male,15 to 17 years,788,788
60067,P12_007N,Male,18 and 19 years,390,390
60067,P12_008N,Male,20 years,219,219
60067,P12_009N,Male,21 years,214,214
60067,P12_010N,Male,22 to 24 years,609,609
60067,P12_011N,Male,25 to 29 years,1109,1109
60067,P12_012N,Male,30 to 34 years,1196,1196
60067,P12_013N,Male,35 to 39 years,1295,1295
60067,P12_014N,Male,40 to 44 years,1270,1270
60067,P12_015N,Male,45 to 49 years,1329,1329
60067,P12_016N,Male,50 to 54 years,1384,1384
60067,P12_017N,Male,55 to 59 years,1516,1516
60067,P12_018N,Male,60 and 61 years,600,600
60067,P12_019N,Male,62 to 64 years,848,848
60067,P12_020N,Male,65 and 66 years,526,526
60067,P12_021N,Male,67 to 69 years,587,587
60067,P12_022N,Male,70 to 74 years,885,885
60067,P12_023N,Male,75 to 79 years,543,543
60067,P12_024N,Male,80 to 84 years,364,364
60067,P12_025N,Male,85 years and over,274,274
60067,P12_027N,Female,Under 5 years,957,957
60067,P12_028N,Female,5 to 9 years,1050,1050
60067,P12_029N,Female,10 to 14 years,1180,1180
60067,P12_030N,Female,15 to 17 years,801,801
60067,P12_031N,Female,18 and 19 years,405,405
60067,P12_032N,Female,20 years,169,169
60067,P12_033N,Female,21 years,207,207
60067,P12_034N,Female,22 to 24 years,558,558
60067,P12_035N,Female,25 to 29 years,1128,1128
60067,P12_036N,Female,30 to 34 years,1129,1129
60067,P12_037N,Female,35 to 39 years,1303,1303
60067,P12_038N,Female,40 to 44 years,1275,1275
60067,P12_039N,Female,45 to 49 years,1376,1376
60067,P12_040N,Female,50 to 54 years,1505,1505
60067,P12_041N,Female,55 to 59 years,1584,1584
60067,P12_042N,Female,60 and 61 years,607,607
60067,P12_043N,Female,62 to 64 years,890,890
60067,P12_044N,Female,65 and 66 years,577,577
60067,P12_045N,Female,67 to 69 years,694,694
60067,P12_046N,Female,70 to 74 years,986,986
60067,P12_047N,Female,75 to 79 years,710,710
60067,P12_048N,Female,80 to 84 years,438,438
60067,P12_049N,Female,85 years and over,492,492
60068,P12_003N,Male,Under 5 years,1112,1112
60068,P12_004N,Male,5 to 9 years,1355,1355
60068,P12_005N,Male,10 to 14 years,1455,1455
60068,P12_006N,Male,15 to 17 years,878,878
60068,P12_007N,Male,18 and 19 years,453,453
60068,P12_008N,Male,20 years,199,199
60068,P12_009N,Male,21 years,196,196
60068,P12_010N,Male,22 to 24 years,612,612
60068,P12_011N,Male,25 to 29 years,749,749
60068,P12_012N,Male,30 to 34 years,811,811
60068,P12_013N,Male,35 to 39 years,1170,1170
60068,P12_014N,Male,40 to 44 years,1289,1289
60068,P12_015N,Male,45 to 49 years,1251,1251
60068,P12_016N,Male,50 to 54 years,1272,1272
60068,P12_017N,Male,55 to 59 years,1368,1368
60068,P12_018N,Male,60 and 61 years,546,546
60068,P12_019N,Male,62 to 64 years,783,783
60068,P12_020N,Male,65 and 66 years,462,462
60068,P12_021N,Male,67 to 69 years,649,649
60068,P12_022N,Male,70 to 74 years,901,901
60068,P12_023N,Male,75 to 79 years,629,629
60068,P12_024N,Male,80 to 84 years,423,423
60068,P12_025N,Male,85 years and over,543,543
60068,P12_027N,Female,Under 5 years,1065,1065
60068,P12_028N,Female,5 to 9 years,1308,1308
60068,P12_029N,Female,10 to 14 years,1352,1352
60068,P12_030N,Female,15 to 17 years,874,874
60068,P12_031N,Female,18 and 19 years,392,392
60068,P12_032N,Female,20 years,192,192
60068,P12_033N,Female,21 years,227,227
60068,P12_034N,Female,22 to 24 years,508,508
60068,P12_035N,Female,25 to 29 years,626,626
60068,P12_036N,Female,30 to 34 years,870,870
60068,P12_037N,Female,35 to 39 years,1306,1306
60068,P12_038N,Female,40 to 44 years,1326,1326
60068,P12_039N,Female,45 to 49 years,1313,1313
60068,P12_040N,Female,50 to 54 years,1448,1448
60068,P12_041N,Female,55 to 59 years,1537,1537
60068,P12_042N,Female,60 and 61 years,594,594
60068,P12_043N,Female,62 to 64 years,896,896
60068,P12_044N,Female,65 and 66 years,569,569
60068,P12_045N,Female,67 to 69 years,691,691
60068,P12_046N,Female,70 to 74 years,1014,1014
60068,P12_047N,Female,75 to 79 years,811,811
60068,P12_048N,Female,80 to 84 years,658,658
60068,P12_049N,Female,85 years and over,989,989
60070,P12_003N,Male,Under 5 years,480,480
60070,P12_004N,Male,5 to 9 years,462,462
60070,P12_005N,Male,10 to 14 years,488,488
60070,P12_006N,Male,15 to 17 years,298,298
60070,P12_007N,Male,18 and 19 years,178,178
60070,P12_008N,Male,20 years,84,84
60070,P12_009N,Male,21 years,83,83
60070,P12_010N,Male,22 to 24 years,262,262
60070,P12_011N,Male,25 to 29 years,478,478
60070,P12_012N,Male,30 to 34 years,609,609
60070,P12_013N,Male,35 to 39 years,576,576
60070,P12_014N,Male,40 to 44 years,524,524
60070,P12_015N,Male,45 to 49 years,460,460
60070,P12_016N,Male,50 to 54 years,462,462
60070,P12_017N,Male,55 to 59 years,519,519
60070,P12_018N,Male,60 and 61 years,230,230
60070,P12_019N,Male,62 to 64 years,309,309
60070,P12_020N,Male,65 and 66 years,208,208
60070,P12_021N,Male,67 to 69 years,246,246
60070,P12_022N,Male,70 to 74 years,338,338
60070,P12_023N,Male,75 to 79 years,238,238
60070,P12_024N,Male,80 to 84 years,119,119
60070,P12_025N,Male,85 years and over,151,151
60070,P12_027N,Female,Under 5 years,428,428
60070,P12_028N,Female,5 to 9 years,424,424
60070,P12_029N,Female,10 to 14 years,477,477
60070,P12_030N,Female,15 to 17 years,274,274
60070,P12_031N,Female,18 and 19 years,199,199
60070,P12_032N,Female,20 years,91,91
60070,P12_033N,Female,21 years,85,85
60070,P12_034N,Female,22 to 24 years,225,225
60070,P12_035N,Female,25 to 29 years,502,502
60070,P12_036N,Female,30 to 34 years,516,516
60070,P12_037N,Female,35 to 39 years,498,498
60070,P12_038N,Female,40 to 44 years,548,548
60070,P12_039N,Female,45 to 49 years,473,473
60070,P12_040N,Female,50 to 54 years,466,466
60070,P12_041N,Female,55 to 59 years,561,561
60070,P12_042N,Female,60 and 61 years,246,246
60070,P12_043N,Female,62 to 64 years,344,344
60070,P12_044N,Female,65 and 66 years,210,210
60070,P12_045N,Female,67 to 69 years,295,295
60070,P12_046N,Female,70 to 74 years,411,411
60070,P12_047N,Female,75 to 79 years,266,266
60070,P12_048N,Female,80 to 84 years,223,223
60070,P12_049N,Female,85 years and over,276,276
60074,P12_003N,Male,Under 5 years,1149,1147
60074,P12_004N,Male,5 to 9 years,1092,1092
60074,P12_005N,Male,10 to 14 years,1164,1162
60074,P12_006N,Male,15 to 17 years,762,761
60074,P12_007N,Male,18 and 19 years,457,455
60074,P12_008N,Male,20 years,242,241
60074,P12_009N,Male,21 years,250,248
60074,P12_010N,Male,22 to 24 years,698,696
60074,P12_011N,Male,25 to 29 years,1437,1431
60074,P12_012N,Male,30 to 34 years,1624,1620
60074,P12_013N,Male,35 to 39 years,1463,1457
60074,P12_014N,Male,40 to 44 years,1141,1133
60074,P12_015N,Male,45 to 49 years,1215,1213
60074,P12_016N,Male,50 to 54 years,1206,1204
60074,P12_017N,Male,55 to 59 years,1228,1219
60074,P12_018N,Male,60 and 61 years,515,508
60074,P12_019N,Male,62 to 64 years,700,697
60074,P12_020N,Male,65 and 66 years,406,406
60074,P12_021N,Male,67 to 69 years,488,484
60074,P12_022N,Male,70 to 74 years,625,618
60074,P12_023N,Male,75 to 79 years,389,385
60074,P12_024N,Male,80 to 84 years,242,242
60074,P12_025N,Male,85 years and over,197,196
60074,P12_027N,Female,Under 5 years,1098,1095
60074,P12_028N,Female,5 to 9 years,986,986
60074,P12_029N,Female,10 to 14 years,1147,1144
60074,P12_030N,Female,15 to 17 years,691,688
60074,P12_031N,Female,18 and 19 years,417,415
60074,P12_032N,Female,20 years,200,200
60074,P12_033N,Female,21 years,180,180
60074,P12_034N,Female,22 to 24 years,716,713
60074,P12_035N,Female,25 to 29 years,1437,1434
60074,P12_036N,Female,30 to 34 years,1539,1534
60074,P12_037N,Female,35 to 39 years,1322,1319
60074,P12_038N,Female,40 to 44 years,1158,1158
60074,P12_039N,Female,45 to 49 years,1258,1254
60074,P12_040N,Female,50 to 54 years,1295,1289
60074,P12_041N,Female,55 to 59 years,1341,1333
60074,P12_042N,Female,60 and 61 years,557,553
60074,P12_043N,Female,62 to 64 years,750,750
60074,P12_044N,Female,65 and 66 years,403,403
60074,P12_045N,Female,67 to 69 years,524,523
60074,P12_046N,Female,70 to 74 years,785,783
60074,P12_047N,Female,75 to 79 years,511,511
60074,P12_048N,Female,80 to 84 years,377,377
60074,P12_049N,Female,85 years and over,323,322
60076,P12_003N,Male,Under 5 years,926,926
60076,P12_004N,Male,5 to 9 years,1108,1108
60076,P12_005N,Male,10 to 14 years,1137,1137
60076,P12_006N,Male,15 to 17 years,722,722
60076,P12_007N,Male,18 and 19 years,404,404
60076,P12_008N,Male,20 years,199,199
60076,P12_009N,Male,21 years,217,217
60076,P12_010N,Male,22 to 24 years,628,628
60076,P12_011N,Male,25 to 29 years,919,919
60076,P12_012N,Male,30 to 34 years,912,912
60076,P12_013N,Male,35 to 39 years,996,996
60076,P12_014N,Male,40 to 44 years,986,986
60076,P12_015N,Male,45 to 49 years,957,957
60076,P12_016N,Male,50 to 54 years,1044,1044
60076,P12_017N,Male,55 to 59 years,1122,1122
60076,P12_018N,Male,60 and 61 years,456,456
60076,P12_019N,Male,62 to 64 years,707,707
60076,P12_020N,Male,65 and 66 years,480,480
60076,P12_021N,Male,67 to 69 years,663,663
60076,P12_022N,Male,70 to 74 years,889,889
60076,P12_023N,Male,75 to 79 years,478,478
60076,P12_024N,Male,80 to 84 years,303,303
60076,P12_025N,Male,85 years and over,332,332
60076,P12_027N,Female,Under 5 years,873,873
60076,P12_028N,Female,5 to 9 years,1030,1030
60076,P12_029N,Female,10 to 14 years,1104,1104
60076,P12_030N,Female,15 to 17 years,705,705
60076,P12_031N,Female,18 and 19 years,376,376
60076,P12_032N,Female,20 years,203,203
60076,P12_033N,Female,21 years,183,183
60076,P12_034N,Female,22 to 24 years,585,585
60076,P12_035N,Female,25 to 29 years,886,886
60076,P12_036N,Female,30 to 34 years,928,928
60076,P12_037N,Female,35 to 39 years,1136,1136
60076,P12_038N,Female,40 to 44 years,1091,1091
60076,P12_039N,Female,45 to 49 years,1167,1167
60076,P12_040N,Female,50 to 54 years,1168,1168
60076,P12_041N,Female,55 to 59 years,1149,1149
60076,P12_042N,Female,60 and 61 years,527,527
60076,P12_043N,Female,62 to 64 years,782,782
60076,P12_044N,Female,65 and 66 years,522,522
60076,P12_045N,Female,67 to 69 years,718,718
60076,P12_046N,Female,70 to 74 years,1028,1028
60076,P12_047N,Female,75 to 79 years,644,644
60076,P12_048N,Female,80 to 84 years,428,428
60076,P12_049N,Female,85 years and over,477,477
60077,P12_003N,Male,Under 5 years,721,721
60077,P12_004N,Male,5 to 9 years,784,784
60077,P12_005N,Male,10 to 14 years,832,832
60077,P12_006N,Male,15 to 17 years,575,575
60077,P12_007N,Male,18 and 19 years,329,329
60077,P12_008N,Male,20 years,189,189
60077,P12_009N,Male,21 years,142,142
60077,P12_010N,Male,22 to 24 years,511,511
60077,P12_011N,Male,25 to 29 years,810,810
60077,P12_012N,Male,30 to 34 years,894,894
60077,P12_013N,Male,35 to 39 years,833,833
60077,P12_014N,Male,40 to 44 years,903,903
60077,P12_015N,Male,45 to 49 years,902,902
60077,P12_016N,Male,50 to 54 years,874,874
60077,P12_017N,Male,55 to 59 years,912,912
60077,P12_018N,Male,60 and 61 years,382,382
60077,P12_019N,Male,62 to 64 years,532,532
60077,P12_020N,Male,65 and 66 years,392,392
60077,P12_021N,Male,67 to 69 years,458,458
60077,P12_022N,Male,70 to 74 years,632,632
60077,P12_023N,Male,75 to 79 years,447,447
60077,P12_024N,Male,80 to 84 years,303,303
60077,P12_025N,Male,85 years and over,322,322
60077,P12_027N,Female,Under 5 years,666,666
60077,P12_028N,Female,5 to 9 years,796,796
60077,P12_029N,Female,10 to 14 years,796,796
60077,P12_030N,Female,15 to 17 years,518,518
60077,P12_031N,Female,18 and 19 years,292,292
60077,P12_032N,Female,20 years,157,157
60077,P12_033N,Female,21 years,116,116
60077,P12_034N,Female,22 to 24 years,511,511
60077,P12_035N,Female,25 to 29 years,839,839
60077,P12_036N,Female,30 to 34 years,893,893
60077,P12_037N,Female,35 to 39 years,914,914
60077,P12_038N,Female,40 to 44 years,985,985
60077,P12_039N,Female,45 to 49 years,975,975
60077,P12_040N,Female,50 to 54 years,1004,1004
60077,P12_041N,Female,55 to 59 years,1060,1060
60077,P12_042N,Female,60 and 61 years,441,441
60077,P12_043N,Female,62 to 64 years,642,642
60077,P12_044N,Female,65 and 66 years,415,415
60077,P12_045N,Female,67 to 69 years,575,575
60077,P12_046N,Female,70 to 74 years,858,858
60077,P12_047N,Female,75 to 79 years,592,592
60077,P12_048N,Female,80 to 84 years,476,476
60077,P12_049N,Female,85 years and over,656,656
60089,P12_003N,Male,Under 5 years,1055,319
60089,P12_004N,Male,5 to 9 years,1491,368
60089,P12_005N,Male,10 to 14 years,1596,354
60089,P12_006N,Male,15 to 17 years,1006,231
60089,P12_007N,Male,18 and 19 years,461,130
60089,P12_008N,Male,20 years,196,82
60089,P12_009N,Male,21 years,171,53
60089,P12_010N,Male,22 to 24 years,589,206
60089,P12_011N,Male,25 to 29 years,838,381
60089,P12_012N,Male,30 to 34 years,1065,467
60089,P12_013N,Male,35 to 39 years,1524,459
60089,P12_014N,Male,40 to 44 years,1660,432
60089,P12_015N,Male,45 to 49 years,1651,449
60089,P12_016N,Male,50 to 54 years,1468,465
60089,P12_017N,Male,55 to 59 years,1451,504
60089,P12_018N,Male,60 and 61 years,592,181
60089,P12_019N,Male,62 to 64 years,855,273
60089,P12_020N,Male,65 and 66 years,542,181
60089,P12_021N,Male,67 to 69 years,708,236
60089,P12_022N,Male,70 to 74 years,884,335
60089,P12_023N,Male,75 to 79 years,512,230
60089,P12_024N,Male,80 to 84 years,315,146
60089,P12_025N,Male,85 years and over,283,141
60089,P12_027N,Female,Under 5 years,1053,327
60089,P12_028N,Female,5 to 9 years,1401,326
60089,P12_029N,Female,10 to 14 years,1499,340
60089,P12_030N,Female,15 to 17 years,955,248
60089,P12_031N,Female,18 and 19 years,406,111
60089,P12_032N,Female,20 years,177,53
60089,P12_033N,Female,21 years,218,68
60089,P12_034N,Female,22 to 24 years,457,148
60089,P12_035N,Female,25 to 29 years,811,332
60089,P12_036N,Female,30 to 34 years,1293,457
60089,P12_037N,Female,35 to 39 years,1687,461
60089,P12_038N,Female,40 to 44 years,1686,454
60089,P12_039N,Female,45 to 49 years,1627,462
60089,P12_040N,Female,50 to 54 years,1490,482
60089,P12_041N,Female,55 to 59 years,1619,532
60089,P12_042N,Female,60 and 61 years,688,225
60089,P12_043N,Female,62 to 64 years,1043,358
60089,P12_044N,Female,65 and 66 years,625,197
60089,P12_045N,Female,67 to 69 years,807,298
60089,P12_046N,Female,70 to 74 years,1059,479
60089,P12_047N,Female,75 to 79 years,617,287
60089,P12_048N,Female,80 to 84 years,497,248
60089,P12_049N,Female,85 years and over,599,248
60090,P12_003N,Male,Under 5 years,1180,1180
60090,P12_004N,Male,5 to 9 years,1018,1018
60090,P12_005N,Male,10 to 14 years,1052,1052
60090,P12_006N,Male,15 to 17 years,648,648
60090,P12_007N,Male,18 and 19 years,403,403
60090,P12_008N,Male,20 years,229,229
60090,P12_009N,Male,21 years,217,217
60090,P12_010N,Male,22 to 24 years,710,710
60090,P12_011N,Male,25 to 29 years,1520,1520
60090,P12_012N,Male,30 to 34 years,1804,1804
60090,P12_013N,Male,35 to 39 years,1594,1594
60090,P12_014N,Male,40 to 44 years,1233,1233
60090,P12_015N,Male,45 to 49 years,1159,1159
60090,P12_016N,Male,50 to 54 years,1205,1205
60090,P12_017N,Male,55 to 59 years,1216,1216
60090,P12_018N,Male,60 and 61 years,523,523
60090,P12_019N,Male,62 to 64 years,736,736
60090,P12_020N,Male,65 and 66 years,407,407
60090,P12_021N,Male,67 to 69 years,607,607
60090,P12_022N,Male,70 to 74 years,765,765
60090,P12_023N,Male,75 to 79 years,439,439
60090,P12_024N,Male,80 to 84 years,337,337
60090,P12_025N,Male,85 years and over,277,277
60090,P12_027N,Female,Under 5 years,1064,1064
60090,P12_028N,Female,5 to 9 years,969,969
60090,P12_029N,Female,10 to 14 years,975,975
60090,P12_030N,Female,15 to 17 years,642,642
60090,P12_031N,Female,18 and 19 years,363,363
60090,P12_032N,Female,20 years,174,174
60090,P12_033N,Female,21 years,178,178
60090,P12_034N,Female,22 to 24 years,730,730
60090,P12_035N,Female,25 to 29 years,1469,1469
60090,P12_036N,Female,30 to 34 years,1567,1567
60090,P12_037N,Female,35 to 39 years,1324,1324
60090,P12_038N,Female,40 to 44 years,1144,1144
60090,P12_039N,Female,45 to 49 years,1207,1207
60090,P12_040N,Female,50 to 54 years,1212,1212
60090,P12_041N,Female,55 to 59 years,1363,1363
60090,P12_042N,Female,60 and 61 years,641,641
60090,P12_043N,Female,62 to 64 years,802,802
60090,P12_044N,Female,65 and 66 years,536,536
60090,P12_045N,Female,67 to 69 years,693,693
60090,P12_046N,Female,70 to 74 years,950,950
60090,P12_047N,Female,75 to 79 years,590,590
60090,P12_048N,Female,80 to 84 years,508,508
60090,P12_049N,Female,85 years and over,637,637
60091,P12_003N,Male,Under 5 years,687,687
60091,P12_004N,Male,5 to 9 years,1158,1158
60091,P12_005N,Male,10 to 14 years,1333,1333
60091,P12_006N,Male,15 to 17 years,830,830
60091,P12_007N,Male,18 and 19 years,373,373
60091,P12_008N,Male,20 years,164,164
60091,P12_009N,Male,21 years,147,147
60091,P12_010N,Male,22 to 24 years,313,313
60091,P12_011N,Male,25 to 29 years,301,301
60091,P12_012N,Male,30 to 34 years,339,339
60091,P12_013N,Male,35 to 39 years,591,591
60091,P12_014N,Male,40 to 44 years,873,873
60091,P12_015N,Male,45 to 49 years,1014,1014
60091,P12_016N,Male,50 to 54 years,1082,1082
60091,P12_017N,Male,55 to 59 years,989,989
60091,P12_018N,Male,60 and 61 years,386,386
60091,P12_019N,Male,62 to 64 years,514,514
60091,P12_020N,Male,65 and 66 years,344,344
60091,P12_021N,Male,67 to 69 years,464,464
60091,P12_022N,Male,70 to 74 years,664,664
60091,P12_023N,Male,75 to 79 years,438,438
60091,P12_024N,Male,80 to 84 years,282,282
60091,P12_025N,Male,85 years and over,296,296
60091,P12_027N,Female,Under 5 years,642,642
60091,P12_028N,Female,5 to 9 years,1056,1056
60091,P12_029N,Female,10 to 14 years,1256,1256
60091,P12_030N,Female,15 to 17 years,772,772
60091,P12_031N,Female,18 and 19 years,343,343
60091,P12_032N,Female,20 years,128,128
60091,P12_033N,Female,21 years,159,159
60091,P12_034N,Female,22 to 24 years,347,347
60091,P12_035N,Female,25 to 29 years,268,268
60091,P12_036N,Female,30 to 34 years,326,326
60091,P12_037N,Female,35 to 39 years,710,710
60091,P12_038N,Female,40 to 44 years,1016,1016
60091,P12_039N,Female,45 to 49 years,1098,1098
60091,P12_040N,Female,50 to 54 years,1174,1174
60091,P12_041N,Female,55 to 59 years,1042,1042
60091,P12_042N,Female,60 and 61 years,436,436
60091,P12_043N,Female,62 to 64 years,564,564
60091,P12_044N,Female,65 and 66 years,381,381
60091,P12_045N,Female,67 to 69 years,540,540
60091,P12_046N,Female,70 to 74 years,742,742
60091,P12_047N,Female,75 to 79 years,539,539
60091,P12_048N,Female,80 to 84 years,394,394
60091,P12_049N,Female,85 years and over,538,538
60093,P12_003N,Male,Under 5 years,624,624
60093,P12_004N,Male,5 to 9 years,804,804
60093,P12_005N,Male,10 to 14 years,974,974
60093,P12_006N,Male,15 to 17 years,632,632
60093,P12_007N,Male,18 and 19 years,281,281
60093,P12_008N,Male,20 years,138,138
60093,P12_009N,Male,21 years,137,137
60093,P12_010N,Male,22 to 24 years,317,317
60093,P12_011N,Male,25 to 29 years,225,225
60093,P12_012N,Male,30 to 34 years,286,286
60093,P12_013N,Male,35 to 39 years,466,466
60093,P12_014N,Male,40 to 44 years,601,601
60093,P12_015N,Male,45 to 49 years,689,689
60093,P12_016N,Male,50 to 54 years,780,780
60093,P12_017N,Male,55 to 59 years,795,795
60093,P12_018N,Male,60 and 61 years,307,307
60093,P12_019N,Male,62 to 64 years,411,411
60093,P12_020N,Male,65 and 66 years,211,211
60093,P12_021N,Male,67 to 69 years,332,332
60093,P12_022N,Male,70 to 74 years,372,372
60093,P12_023N,Male,75 to 79 years,332,332
60093,P12_024N,Male,80 to 84 years,213,213
60093,P12_025N,Male,85 years and over,204,204
60093,P12_027N,Female,Under 5 years,604,604
60093,P12_028N,Female,5 to 9 years,754,754
60093,P12_029N,Female,10 to 14 years,923,923
60093,P12_030N,Female,15 to 17 years,587,587
60093,P12_031N,Female,18 and 19 years,310,310
60093,P12_032N,Female,20 years,137,137
60093,P12_033N,Female,21 years,119,119
60093,P12_034N,Female,22 to 24 years,268,268
60093,P12_035N,Female,25 to 29 years,224,224
60093,P12_036N,Female,30 to 34 years,303,303
60093,P12_037N,Female,35 to 39 years,558,558
60093,P12_038N,Female,40 to 44 years,703,703
60093,P12_039N,Female,45 to 49 years,777,777
60093,P12_040N,Female,50 to 54 years,818,818
60093,P12_041N,Female,55 to 59 years,798,798
60093,P12_042N,Female,60 and 61 years,292,292
60093,P12_043N,Female,62 to 64 years,390,390
60093,P12_044N,Female,65 and 66 years,257,257
60093,P12_045N,Female,67 to 69 years,307,307
60093,P12_046N,Female,70 to 74 years,462,462
60093,P12_047N,Female,75 to 79 years,388,388
60093,P12_048N,Female,80 to 84 years,283,283
60093,P12_049N,Female,85 years and over,298,298
60103,P12_003N,Male,Under 5 years,1173,477
60103,P12_004N,Male,5 to 9 years,1250,518
60103,P12_005N,Male,10 to 14 years,1328,545
60103,P12_006N,Male,15 to 17 years,927,396
60103,P12_007N,Male,18 and 19 years,513,206
60103,P12_008N,Male,20 years,261,114
60103,P12_009N,Male,21 years,245,83
60103,P12_010N,Male,22 to 24 years,782,324
60103,P12_011N,Male,25 to 29 years,1086,487
60103,P12_012N,Male,30 to 34 years,1247,542
60103,P12_013N,Male,35 to 39 years,1384,577
60103,P12_014N,Male,40 to 44 years,1380,569
60103,P12_015N,Male,45 to 49 years,1366,598
60103,P12_016N,Male,50 to 54 years,1609,681
60103,P12_017N,Male,55 to 59 years,1722,624
60103,P12_018N,Male,60 and 61 years,609,227
60103,P12_019N,Male,62 to 64 years,801,306
60103,P12_020N,Male,65 and 66 years,487,178
60103,P12_021N,Male,67 to 69 years,621,218
60103,P12_022N,Male,70 to 74 years,816,332
60103,P12_023N,Male,75 to 79 years,436,182
60103,P12_024N,Male,80 to 84 years,246,125
60103,P12_025N,Male,85 years and over,229,141
60103,P12_027N,Female,Under 5 years,1186,462
60103,P12_028N,Female,5 to 9 years,1241,480
60103,P12_029N,Female,10 to 14 years,1366,581
60103,P12_030N,Female,15 to 17 years,817,349
60103,P12_031N,Female,18 and 19 years,475,201
60103,P12_032N,Female,20 years,250,94
60103,P12_033N,Female,21 years,208,89
60103,P12_034N,Female,22 to 24 years,668,292
60103,P12_035N,Female,25 to 29 years,1036,471
60103,P12_036N,Female,30 to 34 years,1354,563
60103,P12_037N,Female,35 to 39 years,1427,585
60103,P12_038N,Female,40 to 44 years,1389,595
60103,P12_039N,Female,45 to 49 years,1488,657
60103,P12_040N,Female,50 to 54 years,1719,678
60103,P12_041N,Female,55 to 59 years,1769,673
60103,P12_042N,Female,60 and 61 years,596,205
60103,P12_043N,Female,62 to 64 years,889,324
60103,P12_044N,Female,65 and 66 years,499,190
60103,P12_045N,Female,67 to 69 years,651,253
60103,P12_046N,Female,70 to 74 years,867,363
60103,P12_047N,Female,75 to 79 years,532,269
60103,P12_048N,Female,80 to 84 years,365,185
60103,P12_049N,Female,85 years and over,430,276
60104,P12_003N,Male,Under 5 years,484,484
60104,P12_004N,Male,5 to 9 years,554,554
60104,P12_005N,Male,10 to 14 years,631,631
60104,P12_006N,Male,15 to 17 years,416,416
60104,P12_007N,Male,18 and 19 years,292,292
60104,P12_008N,Male,20 years,118,118
60104,P12_009N,Male,21 years,121,121
60104,P12_010N,Male,22 to 24 years,397,397
60104,P12_011N,Male,25 to 29 years,663,663
60104,P12_012N,Male,30 to 34 years,583,583
60104,P12_013N,Male,35 to 39 years,596,596
60104,P12_014N,Male,40 to 44 years,604,604
60104,P12_015N,Male,45 to 49 years,542,542
60104,P12_016N,Male,50 to 54 years,589,589
60104,P12_017N,Male,55 to 59 years,555,555
60104,P12_018N,Male,60 and 61 years,211,211
60104,P12_019N,Male,62 to 64 years,321,321
60104,P12_020N,Male,65 and 66 years,191,191
60104,P12_021N,Male,67 to 69 years,254,254
60104,P12_022N,Male,70 to 74 years,379,379
60104,P12_023N,Male,75 to 79 years,219,219
60104,P12_024N,Male,80 to 84 years,110,110
60104,P12_025N,Male,85 years and over,71,71
60104,P12_027N,Female,Under 5 years,479,479
60104,P12_028N,Female,5 to 9 years,514,514
60104,P12_029N,Female,10 to 14 years,612,612
60104,P12_030N,Female,15 to 17 years,374,374
60104,P12_031N,Female,18 and 19 years,225,225
60104,P12_032N,Female,20 years,127,127
60104,P12_033N,Female,21 years,116,116
60104,P12_034N,Female,22 to 24 years,344,344
60104,P12_035N,Female,25 to 29 years,628,628
60104,P12_036N,Female,30 to 34 years,631,631
60104,P12_037N,Female,35 to 39 years,606,606
60104,P12_038N,Female,40 to 44 years,600,600
60104,P12_039N,Female,45 to 49 years,692,692
60104,P12_040N,Female,50 to 54 years,699,699
60104,P12_041N,Female,55 to 59 years,688,688
60104,P12_042N,Female,60 and 61 years,296,296
60104,P12_043N,Female,62 to 64 years,434,434
60104,P12_044N,Female,65 and 66 years,298,298
60104,P12_045N,Female,67 to 69 years,408,408
60104,P12_046N,Female,70 to 74 years,502,502
60104,P12_047N,Female,75 to 79 years,288,288
60104,P12_048N,Female,80 to 84 years,172,172
60104,P12_049N,Female,85 years and over,195,195
60107,P12_003N,Male,Under 5 years,1080,1080
60107,P12_004N,Male,5 to 9 years,1217,1217
60107,P12_005N,Male,10 to 14 years,1259,1259
60107,P12_006N,Male,15 to 17 years,819,819
60107,P12_007N,Male,18 and 19 years,512,512
60107,P12_008N,Male,20 years,269,269
60107,P12_009N,Male,21 years,240,240
60107,P12_010N,Male,22 to 24 years,888,888
60107,P12_011N,Male,25 to 29 years,1378,1378
60107,P12_012N,Male,30 to 34 years,1452,1452
60107,P12_013N,Male,35 to 39 years,1406,1406
60107,P12_014N,Male,40 to 44 years,1294,1294
60107,P12_015N,Male,45 to 49 years,1279,1279
60107,P12_016N,Male,50 to 54 years,1392,1392
60107,P12_017N,Male,55 to 59 years,1411,1411
60107,P12_018N,Male,60 and 61 years,585,585
60107,P12_019N,Male,62 to 64 years,707,707
60107,P12_020N,Male,65 and 66 years,419,419
60107,P12_021N,Male,67 to 69 years,528,528
60107,P12_022N,Male,70 to 74 years,662,662
60107,P12_023N,Male,75 to 79 years,422,422
60107,P12_024N,Male,80 to 84 years,211,211
60107,P12_025N,Male,85 years and over,181,181
60107,P12_027N,Female,Under 5 years,1130,1130
