zip_code,primary_city,district,percent_addresses,nssp_region,notes
60487,Tinley Park,South,80.68,IL_Cook,NA
60499,Bedford Park,Southwest,100,IL_Cook,PO Boxes
60501,Summit Argo,Southwest,100,IL_Cook,NA
60513,Brookfield,West,100,IL_Cook,NA
60521,Hinsdale,West,7.36,IL_DuPage,NA
60523,Oak Brook,OOJ,0.13,IL_DuPage,NA
60525,La Grange,West,100,IL_Cook,NA
60526,La Grange Park,West,100,IL_Cook,NA
60527,Willowbrook,OOJ,11.29,IL_DuPage,NA
60534,Lyons,West,100,IL_Cook,NA
60546,Riverside,West,100,IL_Cook,NA
60558,Western Springs,West,100,IL_Cook,NA
60601,Chicago,OOJ,100,IL_Chicago,NA
60602,Chicago,OOJ,100,IL_Chicago,NA
60603,Chicago,OOJ,100,IL_Chicago,NA
60604,Chicago,OOJ,100,IL_Chicago,NA
60605,Chicago,OOJ,100,IL_Chicago,NA
60606,Chicago,OOJ,100,IL_Chicago,NA
60607,Chicago,OOJ,100,IL_Chicago,NA
60608,Chicago,OOJ,100,IL_Chicago,NA
60609,Chicago,OOJ,100,IL_Chicago,NA
60610,Chicago,OOJ,100,IL_Chicago,NA
60611,Chicago,OOJ,100,IL_Chicago,NA
60612,Chicago,OOJ,100,IL_Chicago,NA
60613,Chicago,OOJ,100,IL_Chicago,NA
60614,Chicago,OOJ,100,IL_Chicago,NA
60615,Chicago,OOJ,100,IL_Chicago,NA
60616,Chicago,OOJ,100,IL_Chicago,NA
60617,Chicago,OOJ,100,IL_Chicago,NA
60618,Chicago,OOJ,100,IL_Chicago,NA
60619,Chicago,OOJ,100,IL_Chicago,NA
60620,Chicago,OOJ,100,IL_Chicago,NA
60621,Chicago,OOJ,100,IL_Chicago,NA
60622,Chicago,OOJ,100,IL_Chicago,NA
60623,Chicago,OOJ,100,IL_Chicago,NA
60624,Chicago,OOJ,100,IL_Chicago,NA
60625,Chicago,OOJ,100,IL_Chicago,NA
60626,Chicago,OOJ,100,IL_Chicago,NA
60628,Chicago,OOJ,100,IL_Chicago,NA
60629,Chicago,OOJ,100,IL_Chicago,NA
60630,Chicago,OOJ,100,IL_Chicago,NA
60631,Chicago,OOJ,100,IL_Chicago,NA
60632,Chicago,OOJ,100,IL_Chicago,NA
60633,Chicago,OOJ,100,IL_Chicago,NA
60634,Chicago,OOJ,100,IL_Chicago,NA
60636,Chicago,OOJ,100,IL_Chicago,NA
60637,Chicago,OOJ,100,IL_Chicago,NA
60638,Chicago,OOJ,100,IL_Chicago,NA
60639,Chicago,OOJ,100,IL_Chicago,NA
60640,Chicago,OOJ,100,IL_Chicago,NA
60641,Chicago,OOJ,100,IL_Chicago,NA
60642,Chicago,OOJ,100,IL_Chicago,NA
60643,Chicago,OOJ,100,IL_Chicago,NA
60644,Chicago,OOJ,100,IL_Chicago,NA
60645,Chicago,OOJ,100,IL_Chicago,NA
60646,Chicago,OOJ,100,IL_Chicago,NA
60647,Chicago,OOJ,100,IL_Chicago,NA
60649,Chicago,OOJ,100,IL_Chicago,NA
60651,Chicago,OOJ,100,IL_Chicago,NA
60652,Chicago,OOJ,100,IL_Chicago,NA
60653,Chicago,OOJ,100,IL_Chicago,NA
60654,Chicago,OOJ,100,IL_Chicago,NA
60655,Chicago,OOJ,100,IL_Chicago,NA
60656,Chicago,OOJ,100,IL_Chicago,NA
60657,Chicago,OOJ,100,IL_Chicago,NA
60659,Chicago,OOJ,100,IL_Chicago,NA
60660,Chicago,OOJ,100,IL_Chicago,NA
60661,Chicago,OOJ,100,IL_Chicago,NA
60664,Chicago,OOJ,100,IL_Chicago,PO Boxes
60666,Chicago,OOJ,100,IL_Chicago,PO Boxes
60668,Chicago,OOJ,100,IL_Chicago,specific company or organization
60669,Chicago,OOJ,100,IL_Chicago,specific company or organization
60670,Chicago,OOJ,100,IL_Chicago,specific company or organization
60673,Chicago,OOJ,100,IL_Chicago,specific company or organization
60674,Chicago,OOJ,100,IL_Chicago,specific company or organization
60675,Chicago,OOJ,100,IL_Chicago,specific company or organization
60677,Chicago,OOJ,100,IL_Chicago,specific company or organization
