"zcta","variable","value"
"60534","B19013_001M",13832
"60513","B19013_001E",82337
"60513","B19013_001M",5267
"60419","B19013_001E",46658
"60419","B19013_001M",3369
"60456","B19013_001E",50548
"60456","B19013_001M",3881
"60160","B19013_001E",50853
"60160","B19013_001M",3265
"60469","B19013_001E",40885
"60469","B19013_001M",16587
"60093","B19013_001E",194750
"60093","B19013_001M",19137
"60467","B19013_001E",100126
"60467","B19013_001M",7684
"60120","B19013_001E",61470
"60120","B19013_001M",3906
"60653","B19013_001E",31093
"60653","B19013_001M",1549
"60546","B19013_001E",80523
"60546","B19013_001M",3850
"60636","B19013_001E",26724
"60636","B19013_001M",1980
"60429","B19013_001E",54717
"60429","B19013_001M",5842
"60604","B19013_001E",91750
"60604","B19013_001M",65948
"60804","B19013_001E",49412
"60804","B19013_001M",2345
"60632","B19013_001E",44924
"60632","B19013_001M",1955
"60194","B19013_001E",81630
"60194","B19013_001M",4511
"60623","B19013_001E",32460
"60623","B19013_001M",1638
"60527","B19013_001E",103123
"60527","B19013_001M",4898
"60110","B19013_001E",69572
"60110","B19013_001M",5557
"60155","B19013_001E",54219
"60155","B19013_001M",6710
"60301","B19013_001E",85879
"60301","B19013_001M",13722
"60463","B19013_001E",88915
"60463","B19013_001M",5174
"60171","B19013_001E",59814
"60171","B19013_001M",8588
"60025","B19013_001E",100557
"60025","B19013_001M",4980
"60487","B19013_001E",100313
"60487","B19013_001M",6108
"60029","B19013_001E",235000
"60029","B19013_001M",52008
"60472","B19013_001E",27078
"60472","B19013_001M",8120
"60458","B19013_001E",51062
"60458","B19013_001M",5425
"60803","B19013_001E",62045
"60803","B19013_001M",5181
"60406","B19013_001E",47475
"60406","B19013_001M",2977
"60426","B19013_001E",33182
"60426","B19013_001M",3888
"60415","B19013_001E",48750
"60415","B19013_001M",5972
"60176","B19013_001E",54099
"60176","B19013_001M",4463
"60620","B19013_001E",36767
"60620","B19013_001M",2292
"60417","B19013_001E",75727
"60417","B19013_001M",5710
"60172","B19013_001E",90947
"60172","B19013_001M",5688
"60480","B19013_001E",81771
"60480","B19013_001M",11050
"60076","B19013_001E",77157
"60076","B19013_001M",6584
"60163","B19013_001E",64399
"60163","B19013_001M",8872
"60439","B19013_001E",99882
"60439","B19013_001M",9705
"60652","B19013_001E",70702
"60652","B19013_001M",3362
"60610","B19013_001E",92130
"60610","B19013_001M",5305
"60455","B19013_001E",55637
"60455","B19013_001M",6774
"60482","B19013_001E",57669
"60482","B19013_001M",7366
"60043","B19013_001E",227404
"60043","B19013_001M",37689
"60558","B19013_001E",174760
"60558","B19013_001M",12124
"60452","B19013_001E",77054
"60452","B19013_001M",4826
"60035","B19013_001E",150226
"60035","B19013_001M",8872
"60423","B19013_001E",115653
"60423","B19013_001M",7132
"60617","B19013_001E",41125
"60617","B19013_001M",1277
"60628","B19013_001E",41169
"60628","B19013_001M",1879
